Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
56508,00:00:56.508,m,are you getting chilly?,0,,,,,,1,you,,,,,,
97138,00:01:37.138,m,xxx draw?,0,,,,,,0,,,,,,,
97920,00:01:37.920,m,that's you,0,,,,,,2,that,you,,,,,
100062,00:01:40.62,m,that's [name],0,,,,,,1,that,,,,,,
103190,00:01:43.190,m,want me to draw a picture of xxx?,1,picture,,,,,1,me,,,,,,
105944,00:01:45.944,m,okay,0,,,,,,0,,,,,,,
106318,00:01:46.318,m,now we're going to draw xxx,0,,,,,,1,we,,,,,,
160990,00:02:40.990,m,who's that?,0,,,,,,1,that,,,,,,
187136,00:03:07.136,m,you wanna sing a song?,1,song,,,,,1,you,,,,,,
196486,00:03:16.486,m,what do you wanna hear?,0,,,,,,1,you,,,,,,
197336,00:03:17.336,m,you wanna hear Puff the Magic Dragon?,1,puffthemagicdragonsong,,,,,1,you,,,,,,
199308,00:03:19.308,m,no?,0,,,,,,0,,,,,,,
204170,00:03:24.170,m,this?,0,,,,,,1,this,,,,,,
204986,00:03:24.986,m,you wanna press it?,0,,,,,,2,you,it,,,,,
210324,00:03:30.324,m,echo,1,echo,,,,,0,,,,,,,
212772,00:03:32.772,m,play Here Comes the Sun,1,herecomesthesunsong,,,,,0,,,,,,,
221408,00:03:41.408,m,yes?,0,,,,,,0,,,,,,,
227936,00:03:47.936,m,that?,0,,,,,,1,that,,,,,,
229024,00:03:49.24,m,what's that?,0,,,,,,1,that,,,,,,
230826,00:03:50.826,m,that's a tablet honey,2,tablet,honey,,,,1,that,,,,,,
233784,00:03:53.784,m,that's a tablet,1,tablet,,,,,1,that,,,,,,
238884,00:03:58.884,m,oh,0,,,,,,0,,,,,,,
239258,00:03:59.258,m,that's echo,1,echo,,,,,1,that,,,,,,
240312,00:04:00.312,m,you wanna talk to that echo?,1,echo,,,,,2,you,that,,,,,
242250,00:04:02.250,m,okay,0,,,,,,0,,,,,,,
242658,00:04:02.658,m,what do you wanna ask?,0,,,,,,1,you,,,,,,
252620,00:04:12.620,m,you know,0,,,,,,1,you,,,,,,
252926,00:04:12.926,m,we don't have to listen to echo,1,echo,,,,,1,we,,,,,,
254320,00:04:14.320,m,we can sing,0,,,,,,1,we,,,,,,
255306,00:04:15.306,m,you wanna sing,0,,,,,,1,you,,,,,,
256020,00:04:16.20,m,you wanna sing @a@b@c's?,1,abcsong,,,,,1,you,,,,,,
260372,00:04:20.372,m,song?,1,song,,,,,0,,,,,,,
265574,00:04:25.574,m,echo,1,echo,,,,,0,,,,,,,
266118,00:04:26.118,m,play Puff the Magic Dragon,1,puffthemagicdragonsong,,,,,0,,,,,,,
269042,00:04:29.42,m,no?,0,,,,,,0,,,,,,,
274720,00:04:34.720,m,song?,1,song,,,,,0,,,,,,,
275944,00:04:35.944,m,which song?,1,song,,,,,0,,,,,,,
278426,00:04:38.426,m,uh,0,,,,,,0,,,,,,,
290802,00:04:50.802,m,you don't wanna hear Hey Jude or,1,heyjudesong,,,,,1,you,,,,,,
292638,00:04:52.638,m,Puff the Magic Dragon?,1,puffthemagicdragonsong,,,,,0,,,,,,,
294984,00:04:54.984,m,playlist? [laughing],1,playlist,,,,,0,,,,,,,
298928,00:04:58.928,m,okay,0,,,,,,0,,,,,,,
302736,00:05:02.736,m,echo,1,echo,,,,,0,,,,,,,
303416,00:05:03.416,m,play Here Comes the Sun,1,herecomesthesunsong,,,,,0,,,,,,,
344488,00:05:44.488,m,I know you're very curious,0,,,,,,2,i,you,,,,,
348870,00:05:48.870,m,about our guest,1,guest,,,,,1,our,,,,,,
350982,00:05:50.982,m,I know,0,,,,,,1,i,,,,,,
378654,00:06:18.654,m,are those your feet?,1,feet,,,,,2,those,your,,,,,
382190,00:06:22.190,m,are those your little feet?,1,feet,,,,,2,those,your,,,,,
436492,00:07:16.492,m,are you okay?,0,,,,,,1,you,,,,,,
438940,00:07:18.940,m,are you tired?,0,,,,,,1,you,,,,,,
440198,00:07:20.198,m,are you getting shy?,0,,,,,,1,you,,,,,,
454308,00:07:34.308,m,okay,0,,,,,,0,,,,,,,
455226,00:07:35.226,m,come here you,0,,,,,,1,you,,,,,,
456348,00:07:36.348,m,come here,0,,,,,,0,,,,,,,
458388,00:07:38.388,m,are you okay?,0,,,,,,1,you,,,,,,
460972,00:07:40.972,m,you kind of freaked out?,0,,,,,,1,you,,,,,,
462366,00:07:42.366,m,it's okay,0,,,,,,0,,,,,,,
464304,00:07:44.304,m,it's okay,0,,,,,,0,,,,,,,
470379,00:07:50.379,m,it's okay,0,,,,,,0,,,,,,,
478958,00:07:58.958,m,it's okay,0,,,,,,0,,,,,,,
504220,00:08:24.220,m,you wanna sing?,0,,,,,,1,you,,,,,,
505886,00:08:25.886,m,you know,0,,,,,,1,you,,,,,,
506123,00:08:26.123,m,we can sing too,0,,,,,,1,we,,,,,,
507178,00:08:27.178,m,we don't always have to listen to music,1,music,,,,,1,we,,,,,,
527918,00:08:47.918,m,yeah,0,,,,,,0,,,,,,,
528734,00:08:48.734,m,yes baby,1,baby,,,,,0,,,,,,,
540498,00:09:00.498,m,you wanna hear anything?,0,,,,,,1,you,,,,,,
542504,00:09:02.504,m,you don't have a strong opinion?,1,opinion,,,,,1,you,,,,,,
546006,00:09:06.6,m,you mean I can listen to anything?,0,,,,,,2,you,i,,,,,
552908,00:09:12.908,m,yeah baby,1,baby,,,,,0,,,,,,,
557634,00:09:17.634,m,Echo,1,echo,,,,,0,,,,,,,
558688,00:09:18.688,m,play El Gran Combo,1,elgrancombosong,,,,,0,,,,,,,
568242,00:09:28.242,m,Echo,1,echo,,,,,0,,,,,,,
568922,00:09:28.922,m,play music by Hector Lavoe,2,music,hectorlavoesinger,,,,0,,,,,,,
577694,00:09:37.694,m,okay [name],0,,,,,,0,,,,,,,
578646,00:09:38.646,m,you're finally,0,,,,,,1,you,,,,,,
580652,00:09:40.652,m,letting us play something other than Puff the Magic Dragon,1,puffthemagicdragonsong,,,,,1,us,,,,,,
583950,00:09:43.950,m,and Hey Jude,1,heyjudesong,,,,,0,,,,,,,
585718,00:09:45.718,m,this is amazing,0,,,,,,1,this,,,,,,
587349,00:09:47.349,m,[laughing],0,,,,,,0,,,,,,,
592348,00:09:52.348,m,oh you wanna dance?,0,,,,,,1,you,,,,,,
594286,00:09:54.286,m,we can dance,0,,,,,,1,we,,,,,,
595986,00:09:55.986,m,do you wanna dance?,0,,,,,,1,you,,,,,,
596530,00:09:56.530,m,come here,0,,,,,,0,,,,,,,
596836,00:09:56.836,m,you can dance with mommy,1,mommy,,,,,1,you,,,,,,
600712,00:10:00.712,m,it's okay that we have a friend here,1,friend,,,,,1,we,,,,,,
602446,00:10:02.446,m,we're gonna do some,0,,,,,,1,we,,,,,,
603602,00:10:03.602,m,we're gonna um,0,,,,,,1,we,,,,,,
604724,00:10:04.724,m,we're gonna have to pretend she's not here though,0,,,,,,2,we,she,,,,,
607682,00:10:07.682,m,okay?,0,,,,,,0,,,,,,,
610776,00:10:10.776,m,i know it's kinda strange but,0,,,,,,2,i,it,,,,,
613666,00:10:13.666,m,but that's what she asked us to do,0,,,,,,3,that,she,us,,,,
615672,00:10:15.672,m,okay?,0,,,,,,0,,,,,,,
616012,00:10:16.12,m,so we gotta listen,0,,,,,,1,we,,,,,,
622608,00:10:22.608,m,you wanna dance with mommy?,1,mommy,,,,,1,you,,,,,,
624886,00:10:24.886,m,no?,0,,,,,,0,,,,,,,
625124,00:10:25.124,m,you don't wanna dance?,0,,,,,,1,you,,,,,,
627368,00:10:27.368,m,okay,0,,,,,,0,,,,,,,
628354,00:10:28.354,m,it's okay,0,,,,,,0,,,,,,,
629000,00:10:29.0,m,there's nothing to be afraid of,0,,,,,,0,,,,,,,
655248,00:10:55.248,m,xxx,0,,,,,,0,,,,,,,
657288,00:10:57.288,m,xxx,0,,,,,,0,,,,,,,
659226,00:10:59.226,m,[laughing],0,,,,,,0,,,,,,,
662490,00:11:02.490,m,you wanna do flying baby?,1,baby,,,,,1,you,,,,,,
664734,00:11:04.734,m,flying baby,1,baby,,,,,0,,,,,,,
666400,00:11:06.400,m,[laughing],0,,,,,,0,,,,,,,
677620,00:11:17.620,m,you want a banana?,1,banana,,,,,1,you,,,,,,
680204,00:11:20.204,m,no?,0,,,,,,0,,,,,,,
681020,00:11:21.20,m,you want milk?,1,milk,,,,,1,you,,,,,,
688156,00:11:28.156,m,want water?,1,water,,,,,0,,,,,,,
719644,00:11:59.644,m,I know,0,,,,,,1,i,,,,,,
720018,00:12:00.18,m,it's hard,0,,,,,,0,,,,,,,
720732,00:12:00.732,m,it's hard when something different happens,0,,,,,,0,,,,,,,
723928,00:12:03.928,m,it's kinda strange,0,,,,,,0,,,,,,,
753032,00:12:33.32,m,look at these feet xxx,1,feet,,,,,1,these,,,,,,
755072,00:12:35.72,m,look at those little feet,1,feet,,,,,1,those,,,,,,
764966,00:12:44.966,m,is it a booboo?,1,booboo,,,,,1,it,,,,,,
769080,00:12:49.80,m,did you get a bugbite there?,1,bugbite,,,,,1,you,,,,,,
772922,00:12:52.922,m,is that itchy?,0,,,,,,1,that,,,,,,
774554,00:12:54.554,m,okay,0,,,,,,0,,,,,,,
774962,00:12:54.962,m,there's something there,0,,,,,,0,,,,,,,
783972,00:13:03.972,m,that's a place where you got a booboo,2,place,booboo,,,,1,that,,,,,,
787440,00:13:07.440,m,do you still have a booboo?,1,booboo,,,,,1,you,,,,,,
789820,00:13:09.820,m,okay,0,,,,,,0,,,,,,,
815796,00:13:35.796,m,[laughing],0,,,,,,0,,,,,,,
825312,00:13:45.312,m,do you wanna go see grandma's xxx?,1,grandma,,,,,1,you,,,,,,
828104,00:13:48.104,m,no?,0,,,,,,0,,,,,,,
841700,00:14:01.700,m,you know what dear?,1,dear,,,,,1,you,,,,,,
842962,00:14:02.962,m,Orit is working,1,orit,,,,,0,,,,,,,
844458,00:14:04.458,m,okay?,0,,,,,,0,,,,,,,
844798,00:14:04.798,m,you know how Papa works and mommy goes to work?,3,papa,mommy,work,,,1,you,,,,,,
847416,00:14:07.416,m,right now she's working,0,,,,,,1,she,,,,,,
848470,00:14:08.470,m,but she's here in our house working,1,house,,,,,2,she,our,,,,,
864824,00:14:24.824,m,you want Papa?,1,papa,,,,,1,you,,,,,,
866422,00:14:26.422,m,honey,1,honey,,,,,0,,,,,,,
866966,00:14:26.966,m,Papa's working,1,papa,,,,,0,,,,,,,
870128,00:14:30.128,m,Papa's working,1,papa,,,,,0,,,,,,,
872848,00:14:32.848,m,are we getting sleepy?,0,,,,,,1,we,,,,,,
873936,00:14:33.936,m,you can go in the bed,1,bed,,,,,1,you,,,,,,
875908,00:14:35.908,m,it's okay if you're sleepy,0,,,,,,2,it,you,,,,,
888042,00:14:48.42,m,you want me to hold,0,,,,,,2,you,me,,,,,
888518,00:14:48.518,m,you want,0,,,,,,1,you,,,,,,
888964,00:14:48.964,m,mommy to hold you?,1,mommy,,,,,1,you,,,,,,
891854,00:14:51.854,m,okay,,,,,,,0,,,,,,,
892432,00:14:52.432,m,oh,0,,,,,,0,,,,,,,
897566,00:14:57.566,m,xxx musica?,1,musica,,,,,0,,,,,,,
899742,00:14:59.742,m,you want to hear music?,1,music,,,,,1,you,,,,,,
901340,00:15:01.340,m,more music?,1,music,,,,,0,,,,,,,
903822,00:15:03.822,m,more music?,1,music,,,,,0,,,,,,,
905930,00:15:05.930,m,okay,0,,,,,,0,,,,,,,
907970,00:15:07.970,m,xxx hear?,0,,,,,,0,,,,,,,
913954,00:15:13.954,m,you wanna xxx into the record player today?,1,recordplayer,,,,,1,you,,,,,,
925004,00:15:25.4,m,you want to reach that?,0,,,,,,2,you,that,,,,,
926126,00:15:26.126,m,you can play with the typewriter,1,typewriter,,,,,1,you,,,,,,
929151,00:15:29.151,m,xxx,0,,,,,,0,,,,,,,
936020,00:15:36.20,m,kay,0,,,,,,0,,,,,,,
936258,00:15:36.258,m,careful of your little fingers,1,fingers,,,,,1,your,,,,,,
951048,00:15:51.48,m,you wanna do a puzzle?,1,puzzle,,,,,1,you,,,,,,
952748,00:15:52.748,m,let's do a puzzle,1,puzzle,,,,,0,,,,,,,
962812,00:16:02.812,m,okay,0,,,,,,0,,,,,,,
967572,00:16:07.572,m,rawr [growling],0,,,,,,0,,,,,,,
970836,00:16:10.836,m,rawr [growling],0,,,,,,0,,,,,,,
1000688,00:16:40.688,m,[adult babble],0,,,,,,0,,,,,,,
1001980,00:16:41.980,m,[laughing],0,,,,,,0,,,,,,,
1004326,00:16:44.326,m,what?,0,,,,,,0,,,,,,,
1005074,00:16:45.74,m,where'd it go?,0,,,,,,1,it,,,,,,
1007080,00:16:47.80,m,[adult babble],0,,,,,,0,,,,,,,
1007998,00:16:47.998,m,where is it?,0,,,,,,1,it,,,,,,
1009222,00:16:49.222,m,oh,0,,,,,,0,,,,,,,
1010242,00:16:50.242,m,there it is,0,,,,,,1,it,,,,,,
1013200,00:16:53.200,m,rawr [growling],0,,,,,,0,,,,,,,
1014492,00:16:54.492,m,[growling],0,,,,,,0,,,,,,,
1023672,00:17:03.672,m,[adult babble],0,,,,,,0,,,,,,,
1024420,00:17:04.420,m,[adult babble],0,,,,,,0,,,,,,,
1026630,00:17:06.630,m,where did it go?,0,,,,,,1,it,,,,,,
1028432,00:17:08.432,m,did you see it?,0,,,,,,1,it,,,,,,
1029928,00:17:09.928,m,where is it?,0,,,,,,1,it,,,,,,
1031900,00:17:11.900,m,where is it?,0,,,,,,1,it,,,,,,
1032954,00:17:12.954,m,where did,0,,,,,,0,,,,,,,
1033532,00:17:13.532,m,where is it?,0,,,,,,1,it,,,,,,
1035095,00:17:15.95,m,I don't know,0,,,,,,1,i,,,,,,
1035572,00:17:15.572,m,I guess we lost it,0,,,,,,2,i,it,,,,,
1039890,00:17:19.890,m,oh,0,,,,,,0,,,,,,,
1040536,00:17:20.536,m,oh,0,,,,,,0,,,,,,,
1041726,00:17:21.726,m,there it is,0,,,,,,1,it,,,,,,
1042882,00:17:22.882,m,there's mister rhino,1,misterrhino,,,,,0,,,,,,,
1044990,00:17:24.990,m,[gasp],0,,,,,,0,,,,,,,
1047438,00:17:27.438,m,I don't know,0,,,,,,1,i,,,,,,
1048254,00:17:28.254,m,wait,0,,,,,,0,,,,,,,
1050192,00:17:30.192,m,where is it?,0,,,,,,1,it,,,,,,
1052300,00:17:32.300,m,guess we lost it,0,,,,,,2,we,it,,,,,
1058590,00:17:38.590,m,I don't know,0,,,,,,1,i,,,,,,
1060562,00:17:40.562,m,we have to keep playing without it,0,,,,,,2,we,it,,,,,
1062330,00:17:42.330,m,I haven't seen mister uh,1,mister,,,,,1,i,,,,,,
1064789,00:17:44.789,m,mister hippopatomus anywhere,1,misterhippopatomus,,,,,0,,,,,,,
1068008,00:17:48.8,m,[gasp],0,,,,,,0,,,,,,,
1068688,00:17:48.688,m,oh no,0,,,,,,0,,,,,,,
1069130,00:17:49.130,m,mister ostrich,1,misterostrich,,,,,0,,,,,,,
1071068,00:17:51.68,m,where did he go?,0,,,,,,1,he,,,,,,
1074604,00:17:54.604,m,mister ostrich?,1,misterostrich,,,,,0,,,,,,,
1076644,00:17:56.644,m,[gasp],0,,,,,,0,,,,,,,
1077834,00:17:57.834,m,all gone,0,,,,,,0,,,,,,,
1079568,00:17:59.568,m,mister ostrich,1,misterostrich,,,,,0,,,,,,,
1080418,00:18:00.418,m,nope,0,,,,,,0,,,,,,,
1083614,00:18:03.614,m,hey,0,,,,,,0,,,,,,,
1083750,00:18:03.750,m,are you eating all those animals?,1,animals,,,,,2,you,those,,,,,
1086028,00:18:06.28,m,are they in your belly?,1,belly,,,,,2,they,your,,,,,
1088068,00:18:08.68,m,yeah?,0,,,,,,0,,,,,,,
1088986,00:18:08.986,m,oh my gosh,0,,,,,,0,,,,,,,
1089530,00:18:09.530,m,you're hungry,0,,,,,,1,you,,,,,,
1091366,00:18:11.366,m,you must be so hungry,0,,,,,,1,you,,,,,,
1092828,00:18:12.828,m,you're eating a zebra and a rhi and a rhino and a hippo and a giraffe,4,zebra,rhino,hippo,giraffe,,1,you,,,,,,
1099084,00:18:19.84,m,rawr [growling],0,,,,,,0,,,,,,,
1100308,00:18:20.308,m,rawr [laughing],0,,,,,,0,,,,,,,
1104354,00:18:24.354,m,wait wait a minute,1,minute,,,,,0,,,,,,,
1106224,00:18:26.224,m,hey,0,,,,,,0,,,,,,,
1108468,00:18:28.468,m,there they are,0,,,,,,1,they,,,,,,
1110644,00:18:30.644,m,you found them,0,,,,,,2,you,them,,,,,
1113840,00:18:33.840,m,you found them,0,,,,,,2,you,them,,,,,
1116900,00:18:36.900,m,oh wait,0,,,,,,0,,,,,,,
1117342,00:18:37.342,m,where'd he go?,0,,,,,,1,he,,,,,,
1118872,00:18:38.872,m,[laughing],0,,,,,,0,,,,,,,
1120334,00:18:40.334,m,kay,0,,,,,,0,,,,,,,
1132302,00:18:52.302,m,rawr [growling],0,,,,,,0,,,,,,,
1133084,00:18:53.84,m,[adult babble],0,,,,,,0,,,,,,,
1134104,00:18:54.104,m,where did all the pieces go?,1,pieces,,,,,0,,,,,,,
1136348,00:18:56.348,m,hey,0,,,,,,0,,,,,,,
1137640,00:18:57.640,m,where's the puzzle?,1,puzzle,,,,,0,,,,,,,
1139442,00:18:59.442,m,where is it?,0,,,,,,1,it,,,,,,
1142264,00:19:02.264,m,where did it go?,0,,,,,,1,it,,,,,,
1147564,00:19:07.564,m,you know where it is,0,,,,,,2,you,it,,,,,
1149438,00:19:09.438,m,[laughing],0,,,,,,0,,,,,,,
1168206,00:19:28.206,m,[growling],0,,,,,,0,,,,,,,
1179528,00:19:39.528,m,is that your belly?,1,belly,,,,,2,that,your,,,,,
1180480,00:19:40.480,m,is that your belly button?,1,bellybutton,,,,,2,that,your,,,,,
1182248,00:19:42.248,m,[gasp],0,,,,,,0,,,,,,,
1183166,00:19:43.166,m,there's your belly button,1,bellybutton,,,,,1,your,,,,,,
1185920,00:19:45.920,m,[name] where's your nose?,1,nose,,,,,1,your,,,,,,
1189014,00:19:49.14,m,where's your nose?,1,nose,,,,,1,your,,,,,,
1195406,00:19:55.406,m,there's your nose,1,nose,,,,,1,your,,,,,,
1221246,00:20:21.246,m,look,0,,,,,,0,,,,,,,
1244146,00:20:44.146,m,okay,0,,,,,,0,,,,,,,
1267622,00:21:07.622,m,[heartbeat noise],0,,,,,,0,,,,,,,
1269050,00:21:09.50,m,baby look,1,baby,,,,,0,,,,,,,
1270002,00:21:10.2,m,[heartbeat noise],0,,,,,,0,,,,,,,
1272212,00:21:12.212,m,xxx,0,,,,,,0,,,,,,,
1272654,00:21:12.654,m,you're like,0,,,,,,1,you,,,,,,
1273096,00:21:13.96,m,not interacting with me right now,0,,,,,,1,me,,,,,,
1274796,00:21:14.796,m,okay,0,,,,,,0,,,,,,,
1313726,00:21:53.726,m,[chuckle],0,,,,,,0,,,,,,,
1345108,00:22:25.108,m,wanna sing a song?,1,song,,,,,0,,,,,,,
1346910,00:22:26.910,m,you wanna sing Linda Manita?,1,lindamanitasong,,,,,1,you,,,,,,
1382916,00:23:02.916,m,okay,0,,,,,,0,,,,,,,
1468562,00:24:28.562,m,you haven't read Odysseus in a while,1,odysseusbook,,,,,1,you,,,,,,
1521398,00:25:21.398,m,wanna read it again?,0,,,,,,1,it,,,,,,
1523268,00:25:23.268,m,okay,0,,,,,,0,,,,,,,
1611430,00:26:51.430,m,and then whenever grandpa reads this to you,1,grandpa,,,,,2,this,you,,,,,
1613436,00:26:53.436,m,he reads you the last part but I'm gonna skip that,1,part,,,,,2,he,you,that,,,,
1624520,00:27:04.520,m,you wanna sit?,0,,,,,,1,you,,,,,,
1626016,00:27:06.16,m,okay,0,,,,,,0,,,,,,,
1658044,00:27:38.44,m,do you want a banana?,1,banana,,,,,1,you,,,,,,
1661376,00:27:41.376,m,okay,0,,,,,,0,,,,,,,
1661954,00:27:41.954,m,where do you wanna go?,0,,,,,,1,you,,,,,,
1668618,00:27:48.618,m,you wanna dance?,0,,,,,,1,you,,,,,,
1688270,00:28:08.270,m,please don't drop that on your foot,0,,,,,,2,that,your,,,,,
