Participant ID,Referent,Speech,Feature,Adjectives
56C-R11,Surfer,,,
56C-R13,1,CHI:        a person surfing.,L+P,
56C-R15,2,CHI:        um surf you surf in the um on the bea- at the beach.,F+L,
56C-R16,3,CHI:        and um when it's really hot in the summer.,F,
56C-R17,4,"CHI:        and you, and you hold your arms out and then on your surfboard.",P,
56C-R71,King,,,
56C-R73,1,CHI:        I don't want to tell you.,I,
56C-R74,2,CHI:        a king or a queen.,L+T,
56C-R104,Police Officer,,,
56C-R106,1,CHI:        a police officer.,L,
56C-R108,2,CHI:        police officers make sure cars don't run into any other cars.,F+L,
56C-R120,Weightlifter,,,
56C-R122,1,CHI:        uh a circus [?] strong man.,L,strong
56C-R130,3,"CHI:        um and, um circus [?] strongmans hold up this bell-bar.",L+P,
56C-R131,4,CHI:        for in order for them to be strong.,F,strong
56C-R140,Farmer,,,
56C-R143,1,CHI:        it's it's a maid.,L,
56C-R145,2,CHI:        it's a farmer-a f-maid farmer.,L,
56C-R147,3,CHI:        I'm I'm spying her in my her in my telescope.,I,
56C-R151,6,CHI:        uh farmers plant stuff.,F+L,
56C-R152,7,CHI:        and so do maids.,T,
56C-R153,8,CHI:        and maids go out and pick their own food.,T,
56C-R154,9,CHI:        and farmers grow their own food and then pick them.,F+L,
56C-R155,10,"CHI:        that's all I know, about everything.",I,
70C-R1,Clown (B),Speech,,
70C-R3,1,CHI:        a clown.,L,
70C-R5,2,CHI:        uh he wears clothes.,P,
70C-R6,3,CHI:        and he's funny.,F,funny
70C-R11,4,"CHI:        um, he likes to give people presents.",F,
70C-R13,Witch,,,
70C-R15,1,CHI:        a witch.,L,
70C-R17,2,"CHI:        um, she has a cat.",F,
70C-R19,4,CHI:        and she has a broom to fly on.,P,
70C-R20,5,"CHI:        and, she she's a spooky girl.",F,spooky
70C-R43,Pilot,,,
70C-R45,1,"CHI:        mm, I don't know what this is.",I,
70C-R49,3,"CHI:        uh, he's uh getting on.",F,
70C-R50,4,"CHI:        and he, he, and he's the engine.",L,
70C-R51,5,"CHI:        and, he drives the train.",F,
70C-R95,Football Player,,,
70C-R96,1,CHI:        a football player.,L,
70C-R97,2,CHI:        he has a football.,P,
70C-R98,3,"CHI:        and he, and maybe he will win.",F,
70C-R100,Teacher,,,
70C-R102,1,CHI:        a teacher.,L,
70C-R103,2,CHI:        she teaches kids.,F,
22C-R47,Doctor,,,
22C-R48,1,CHI: a doctor.,L,
22C-R50,2,CHI: um she operates.,F,
22C-R53,3,CHI: she helps people.,F,
22C-R54,Painter,,,
22C-R56,1,CHI: an artist.,L,
22C-R58,2,CHI: she paints.,P,
22C-R59,3,CHI: and she always looks at what she's doing.,P,
22C-R76,Baby,,,
22C-R78,1,CHI: a baby.,L,
22C-R80,2,"CHI: he looks just like my ⌈bother⌉, when he was tiny xxx.",I+T+P,tiny
22C-R92,Baseball Player,,,
22C-R108,Pirate,,,
29C-R29,Pilot,,,
29C-R31,1,"CHI: mm, a a plane guy.",L,
29C-R34,2,"CHI: and then uh, last night when I was um a baby I went on one to Florida.",I,
29C-R35,3,CHI: and then I fell asleep.,I,
29C-R37,4,CHI: and then when I woke up we were there and mommy was just carrying me.,I,
29C-R41,5,"CHI: mm, and then um, and then we land and it make a big sound and I like woke up and then Mom pick me up and then that's when I woke up.",I,
29C-R42,6,CHI: she was holding me.,I,
29C-R44,Teacher,,,
29C-R46,1,CHI: a teacher.,L,
29C-R48,2,"CHI: and um, last night I went to my new school I'm going to go to when I get this many &=holds:up_five_fingers (be)cause I'm four and I'm almost that many &=holds:up_five_fingers.",I,
29C-R50,3,"CHI: and, and, and last night, I went to but that was a long time ago and then we when we got home I wanted to play my Star_Wars game more.",I,
29C-R54,4,"CHI: and then uh, when I was driving um, my schools like really really close but I can still walk there but my friend Firstname he he just got a new house so he can't walk there now.",I,
29C-R55,5,CHI: (ex)cept he's all done with school but I'm still done.,I,
29C-R56,6,CHI: now I'm done with school.,I,
29C-R74,Football Player,,,
29C-R79,2,"CHI: um, last night uh, I my dad and mom um I mean my daddy and he went with um his friend to there to a football and (be)cause I didn't go I stayed home with my mom.",I,
29C-R80,3,"CHI: and then um, then uh, then um I played my Star_Wars game for a little bit.",I,
29C-R81,4,CHI: and then I like paused it and I played a little bit.,I,
29C-R82,5,CHI: and then like later [?] I climbed up my furniture but my mom didn't even care (be)cause her didn't know.,I,
29C-R83,6,CHI: but just didn't want me to climb on the table furniture.,I,
29C-R84,7,CHI: that's all but.,I,
29C-R86,Witch,,,
29C-R88,1,CHI: a witch.,L,
29C-R90,2,"CHI: um, last night um, um, last night um we watched a funny show and then was just something [?] with a witch on.",I+L,
29C-R91,3,"CHI: and then uh, and then uh, and then um, and then uh, and then, and then a person walked and he walked into the witches house because he didn't even know that was the witch house.",I+L,
29C-R94,4,"CHI: and then, I watched one and then her opened up the door and then her went in the kitchen and then um uh, and then uh, and then uh, and then and then the the guys no hair [?] came and he and then the polar bear like scared the guys [?] and hit him.",I,
29C-R95,5,CHI: and then we watched another part and the other part's when those ones.,I,
29C-R178,Clown,,,
29C-R180,1,CHI: a clown.,L,
29C-R182,2,CHI: last night um when we went to a play (be)cause Firstname um there was a clown and I was a little scared of it.,I+L,
29C-R183,3,CHI: I just ran and hide.,I,
29C-R185,4,CHI: I wasn't really scared of all of them just some of (th)em.,I,
29C-R187,5,"CHI: and then um, and then uh, then last time uh, um, I saw one but he had candy and he gave some to me and I was even scared of that one.",I,
34C-R42,Baseball Player,,,
34C-R45,2,CHI: I think that I know a [?] lot lot about the other things.,I,
34C-R50,4,CHI: um a basket um baseball man.,L,
34C-R61,5,CHI: they play basketball a lot.,F,
34C-R63,6,CHI: all the people came to watch them.,F,
34C-R65,8,CHI: I think that's it I say about them.,I,
34C-R119,Doctor,,,
34C-R121,1,CHI: a doctor.,L,
34C-R122,2,CHI: when I grow up I'm gonna be like that.,I,
34C-R125,3,CHI: when people get sick they take care of (th)em.,F,
34C-R127,4,CHI: um mm I think that's it to tell about them.,I,
34C-R131,Painter,,,
34C-R133,1,CHI: a painter.,L,
34C-R135,2,CHI: they paint a lot.,F,
34C-R138,3,"CHI: um, hm I think that's it tell about them.",I,
34C-R147,Baby,,,
34C-R149,1,CHI: a baby.,L,
34C-R151,2,CHI: um babies could um.,L,
34C-R152,3,CHI: I think there's nothing about babies.,I+L,
34C-R159,5,CHI: babies um like to play with toys a lot.,F+L,
34C-R181,Pirate,,,
34C-R183,1,CHI: pirate man having a um a parrot.,L+P,
34C-R184,2,golden,P,
34C-R185,3,CHI: and um I think that's it.,I,
34C-R187,4,CHI: mm he has a parrot on <his head> [?].,P,
34C-R188,5,CHI: kind of treasure.,P,
34C-R189,6,CHI: coins.,P,
34C-R190,7,CHI: treasure box.,P,
34C-R191,8,CHI: a necklace I think.,P,
38C-R1,Farmer (A),Speech,Which feature is questioned or emphasized,
38C-R3,1,CHI:        farmer.,L,
38C-R5,2,CHI:        they plant vegetables.,F,
38C-R12,King,,,
38C-R14,1,CHI:        king.,L,
38C-R16,2,CHI:        I don't know anything about him.,I,
38C-R70,Police Officer,,,
38C-R72,1,CHI:        police.,L,
38C-R74,2,CHI:        I don't know really anything about police.,I+L,
38C-R77,3,"CHI:        mm, they lead the roads.",F,
38C-R115,Weightlifter,,,
38C-R117,1,"CHI:        uh, working out man.",L,working out
38C-R121,2,CHI:        I can't think of anything else about this.,I,
38C-R125,Surfer,,,
38C-R127,1,CHI:        surfing.,L,
38C-R129,2,CHI:        they <love this> [?].,P,
38C-R130,3,CHI:        and you surf on the water.,F,
45C-R25,Old Woman,,,
45C-R27,1,CHI:        a lady.,L,
45C-R29,2,"CHI:        look's like she's old (be)cause he has, (be)cause she has that &=points:cane.",P,old
45C-R34,3,CHI:        old.,P,
45C-R42,1,CHI:        a bird.,L,
45C-R45,2,CHI:        it's on a pirate's shoulder.,P,
45C-R50,4,CHI:        it flies and where pirates are.,F,
45C-R54,Judge,,,
45C-R55,1,CHI:        somebody in his office.,P,
45C-R59,3,CHI:        that's why I know it's his office.,I,
45C-R65,Ballerina,,,
45C-R67,1,CHI:        I'm no- I'm never gonna be that.,I,
45C-R70,2,"CHI:        besides, it's a ballerina.",L,
45C-R71,3,CHI:        looks like one.,P,
45C-R75,4,CHI:        dancing on her toes.,P,
45C-R139,Firefighter,,,
45C-R140,1,CHI:        fighterfighter.,L,
45C-R154,2,CHI:        a fighterfighter.,L,
45C-R156,3,CHI:        it sprays fires out.,P,
45C-R159,4,"CHI:        saves cats, up in a tree.",F,
45C-R208,Race Car Driver,,,
45C-R210,1,CHI:        baseball.,L,
45C-R211,2,CHI:        and a baseball player.,L,
45C-R230,Judge,,,
45C-R231,6,"CHI:        it's way back, way back at the office.",P,
45C-R233,Judge,,,
45C-R234,7,CHI:        way back at the office.,P,
45C-R243,Old Woman,,,
45C-R244,5,CHI:        lady.,L,
45C-R245,Judge,,,
45C-R246,8,CHI:        office.,P,
45C-R247,9,CHI:        I'm pretty tricky.,I,
45C-R250,3,CHI:        bike.,L,
45C-R251,Judge,,,
45C-R252,10,CHI:        office.,P,
45C-R254,4,CHI:        bike.,L,
45C-R255,Judge,,,
45C-R256,11,CHI:        office.,P,
45C-R258,5,CHI:        bike.,L,
45C-R259,Judge,,,
45C-R260,12,CHI:        office.,P,
55C-R14,King,,,
55C-R16,1,CHI:        king.,L,
55C-R18,2,"CHI:        I can do the very, I don't think I know anything about that one.",I,
55C-R70,Farmer,,,
55C-R72,1,CHI:        gardener.,L,
55C-R74,2,CHI:        I don't really think I have anything to tell about it.,I,
55C-R88,Police Officer,,,
55C-R90,1,CHI:        police officer.,L,
55C-R93,3,CHI:        I can't.,I,
55C-R104,Surfer,,,
55C-R106,1,CHI:        diver.,L,
55C-R108,2,"CHI:        it, swims.",F,
55C-R110,3,CHI:        I don't think there's anything else.,I,
55C-R128,Weightlifter,,,
55C-R130,1,"CHI:        um, I don't know.",I,
55C-R135,4,CHI:        giant maybe.,L,giant
61C-R80,Surfer,,,
61C-R82,1,CHI:        surfing.,L,
61C-R84,2,CHI:        there's a man surfing.,P,
61C-R85,3,CHI:        but be careful not to go &=motions:hands_falling_over.,F+I,
61C-R86,4,CHI:        but don't surf upside down.,F+I,
61C-R88,5,CHI:        (be)cause that'll be too dangerous.,F+I,
61C-R89,6,CHI:        you'll fall off your surfer.,F,
61C-R91,8,CHI:        you'll have to try and swim up.,F,
61C-R92,9,"CHI:        but if you don't know how to swim and you're trying to surf and you fall in deep water, that won't be good.",F,
61C-R94,10,CHI:        then the teacher who's teaching you will have to go whoosh,F,
61C-R96,11,CHI:        and come in and get you out.,F,
61C-R106,18,"CHI:        hm, well, you better watch out for too big of a wave or a shark.",F+I,
61C-R107,19,CHI:        because sharks can come right up and getcha.,F+I,
61C-R110,21,CHI:        (be)cause they (be)cause when there's a shark comin(g) for ya you,F,
61C-R112,22,CHI:        and sw- and surf right away and jump onto the shore (be)cause shar + ...,F,
61C-R114,24,CHI:        and some divers bring blasters along and then blast the shark down.,F,
61C-R116,25,CHI:        that's attacking them.,F,
61C-R135,Farmer,,,
61C-R137,1,CHI:        a picture.,P,
61C-R139,2,CHI:        uh it's of a farmer who's a girl.,L+P,
61C-R140,3,"CHI:        who's carrying a basket of all of tomatoes, carrots and, pumpkin.",P,
61C-R221,King,,,
61C-R223,1,CHI:        king.,L,
61C-R225,2,CHI:        uh he wears a nice neat crown.,P,
61C-R233,6,CHI:        uh a king has a c- lives in a castle.,F+L,
61C-R234,7,CHI:        and he has knights that battle dragons.,F,
61C-R235,8,CHI:        so dragons do not battle kings.,F+L,
61C-R236,9,CHI:        because kings do not battle.,F+L,
61C-R238,10,"CHI:        but, strong magic kings do.",F+L,
61C-R239,11,"CHI:        because they have, magic kings can battle dragons because magic kings have magical power.",F+L,
61C-R326,Police Officer,,,
61C-R327,1,CHI:        that's a police woman.,L,
61C-R329,2,CHI:        a police woman drives a police car or a police van.,P+L,
61C-R330,3,"CHI:        or a police SUV, okay?",F,
61C-R334,4,CHI:        they use                   [guns].,F,
61C-R335,5,CHI:        and bats to wack things.,F,
61C-R336,6,CHI:        and they wear-xxx radio and their flashlights.,P,
61C-R337,7,CHI:        and cameras [sometimes].,F,
61C-R364,Weighlifter,,,
61C-R365,1,"CHI:        the next one is a big, [guy after the bunny].",P,
61C-R395,3,CHI:        a man.,L,
61C-R397,4,CHI:        uh he has weights behind him.,P,
61C-R398,5,CHI:        and right now he doesn't have weights in his hand.,P,
61C-R399,6,"CHI:        he's do, this over his head like [like that].",P,
61C-R404,8,CHI:        uh it's a strong man.,L,strong
61C-R405,9,CHI:        look at his muscles going just like that.,P,
61C-R407,10,CHI:        and he just has half on to make people think he's tough.,F,
3C-R114,Witch,,,
3C-R116,1,CHI:        a witch.,L,
3C-R118,2,"CHI:        witches have cats, and sin, cats, since cats can't be alone sometimes witches take their cats with them when they go outside and fly on their broomsticks.",F+P+L,
3C-R119,3,CHI:        and they have a hat.,P,
3C-R120,4,CHI:        but witches have green skin and they're monsters.,P+L+F,green
3C-R121,5,CHI:        that's all I know about it.,I,
3C-R123,Pilot,,,
3C-R125,1,CHI:        that's a pilot.,L,
3C-R127,2,CHI:        um pilots sometimes you don't know what the buttons are for but I know that airp- I know about this pilot.,F+I+L,
3C-R128,3,CHI:        pilots can know what the buttons are for because they drive the airplane.,F+P+L,
3C-R129,4,CHI:        that's all I know.,I,
3C-R206,Football Player,,,
3C-R208,1,"CHI:        um, a girl that plays football.",L,
3C-R210,2,"CHI:        girls that play football it's hard to throw it very far it's <just that> [?] every day you play football you get you yes get more muscles and muscles until you until you can throw it &=pretends:throw very far ⌈ to your⌉, all the way to the person that is your team.",I+F+L,
3C-R212,3,CHI:        or that is not your team.,F,
3C-R213,4,CHI:        but that's all I know about it.,I,
3C-R215,Teacher,,,
3C-R216,1,CHI:        okay let's try oh that's a teacher.,L,
3C-R218,2,CHI:        teachers teach you things.,P+L+F,
3C-R220,3,"CHI:        and teachers, teachers, teachers, teach you things at schools.",F+L,
3C-R221,4,"CHI:        kindergarten- some teachers, some teacher- teachers live in kindergarten.",F+T+L,
3C-R222,5,"CHI:        and, some of them, some of them um some teachers live in preschool.",F+T+L,
3C-R223,6,CHI:        third grade.,F,
3C-R224,7,CHI:        that's all I know.,I,
3C-R280,Clown,,,
3C-R281,1,CHI:        oh that's a clown oh &=waves:arms!,L,
3C-R283,2,"CHI:        but mom, I mean, do you know this?",I,
3C-R285,3,"CHI:        um my dad he told my mo- I hear him say to my mom that when I was afraid of monsters, he heard me say that so he told my mom this.",I,
3C-R286,4,CHI:        when he was a boy he just woke up when he was sleeping and he saw a picture in his room and it was a picture of a clown.,I+L,
3C-R288,5,"CHI:        it, it, it scared him.",I,
3C-R293,7,CHI:        that's all I know.,I,
3C-R296,10,CHI:        and this is a cool trick that a clown can do.,I+F+L,
3C-R298,11,CHI:        juggle &=pretends:juggle.,F,
3C-R300,12,CHI:        but I don't know how to juggle.,I+F,
3C-R302,13,CHI:        daddy can just do it with one ball.,I+F,
3C-R304,14,CHI:        it's easy to do it with one ball.,I+F,
3C-R305,15,CHI:        it's hard for me to do it with one ball.,I+F,
3C-R306,16,CHI:        it's hard for me to do it with six balls too.,I+F,
3C-R308,17,"CHI:        Arthur but, I know a cartoon and it's called Arthur and Arthur he can juggle just like a clown but he's not a clown.",I+T+F+L,
3C-R310,18,CHI:        he can juggle six balls.,I+F,
4C-R20,Witch,,,
4C-R23,1,CHI:        I don't know about this one.,I,
4C-R26,2,CHI:        no about this one.,I,
4C-R111,Teacher,,,
4C-R113,1,CHI:        a teacher.,L,
4C-R117,3,CHI:        can you please tell me about the teacher?,L,
4C-R125,7,CHI:        a teacher.,L,
4C-R127,8,CHI:        I don't know.,I,
4C-R135,Clown,,,
4C-R136,1,CHI:        a clown.,L,
4C-R139,2,CHI:        &=shrugs I don't know.,I,
4C-R203,Pilot,,,
4C-R205,1,CHI:        policeman.,L,
4C-R207,2,CHI:        a policeman.,L,
4C-R210,3,CHI:        &=shrugs you guess.,I,
4C-R275,Footbal Player,,,
4C-R277,1,CHI:        baseball player.,L,
4C-R279,2,"CHI:        um it, it, it ha- it thr- it plays baseball.",P,
4C-R289,3,"CHI:        um and, like, um it throws, it throws a football.",P,
4C-R291,4,CHI:        and it ha- it's supposed to have these on [= football gear].,P,
4C-R293,6,CHI:        and this on.,P,
4C-R296,9,CHI:        and um tell me if it's a boy or a girl.,T,
4C-R306,13,CHI:        um it's a girl and I want to turn the page.,T,
5C-R2,Race Car Driver,,,
5C-R4,1,CHI:        race.,L,
5C-R11,2,CHI:        um that's a race.,L,
5C-R15,3,CHI:        um people xxx trying to race fast.,F+P+L,
5C-R16,4,CHI:        swhoo.,P,
5C-R18,Ballerina,,,
5C-R20,1,CHI:        I don't know anything about this one.,I,
5C-R66,Old Woman,,,
5C-R67,1,CHI:        old lady <who's this old> [?] !,P+L,old
5C-R69,2,"CHI:        you know, I don't know about old ladies, like that.",I+L,old
5C-R79,Firefighter,,,
5C-R81,1,CHI:        a fireman!,L,
5C-R83,2,CHI:        um they take out fire.,P,
5C-R85,3,CHI:        and firemans <take out hot lava> [?].,F+L,
5C-R115,Judge,,,
5C-R117,1,CHI:        I I think that's a news guy.,L,
5C-R119,2,CHI:        um I think he's from the news.,F,
5C-R126,3,CHI:        you know I don't know much more about this guy.,I,
6C-R2,Old Woman,,,
6C-R15,6,"CHI: this is a person, Zorg.",L,
6C-R16,7,"CHI: and, persons, are humans.",T+L,
6C-R18,8,CHI: I said persons are humans.,L,
6C-R52,Ballerina,,,
6C-R55,2,CHI: zorg this is a ballet girl.,L,
6C-R56,3,CHI: she did ballet.,P,
6C-R58,4,CHI: she wears tutus and and she picks and she and she has pretty she has pretty things when she does ballet.,P+I,pretty
6C-R61,5,CHI: zorg this is a ballet girl.,L,
6C-R62,6,CHI: she does her tutus and she look pretty <when her> [?] hair done and when she does ballet.,P+I,pretty
6C-R120,Judge,,,
6C-R123,2,CHI: a ⌊police⌋?,T,
6C-R125,3,CHI: or is it a judge.,L,
6C-R127,4,CHI: I think it's a judge.,L,
6C-R129,5,CHI: judges tell the police what's supposed to happen to people who've been bad.,F+L,
6C-R131,6,"CHI: well, if if they say if they say yes then they have to go to jail.",F,
6C-R132,7,CHI: if they say no then they have-then they don't need to go to jail.,F,
6C-R134,8,"CHI: the police have to tell them, what-the judge has to tell them what he's supposed to do with the people.",F+T+L,
6C-R138,9,"CHI: zorg this is, a judge.",L,
6C-R139,10,CHI: he tells polices with bad guys have to go in jail or they don't need to.,F,
6C-R201,Firefighter,,,
6C-R202,1,CHI: a fireman.,L,
6C-R204,2,CHI: a fireman fights fires.,P+L,
6C-R206,3,"CHI: and, they, when the when the house is on fire they they they they fight it.",F,
6C-R210,4,CHI: zorg this is a fireman.,L,
6C-R211,5,CHI: he fights fires in houses and +...,F,
6C-R212,6,CHI: and that's a good thing to do.,P,
6C-R243,Race Car Driver,,,
6C-R245,1,CHI: <this is cool> [?].,I,
6C-R246,2,CHI: this is a race car thing.,L,
6C-R247,3,CHI: and that's a race car and somebody going on a race and some more people going on a race &=points:picture.,P,
6C-R249,4,CHI: they they they well the race car between car that you try to win.,F,
6C-R250,5,CHI: and and he's sixteen.,P,
6C-R254,7,"CHI: zorg this is when you car and you play a sport and while it's not a sport like you, like hit balls while you go in cars called a race car.",F+T,
6C-R255,8,"CHI: and, you and the car you go you go on roads try to win.",P+F,
12C-R2,Baseball Player,,,
12C-R4,1,CHI:        play baseball.,L,
12C-R6,2,CHI:        I don't know about that.,I,
12C-R25,Painter,,,
12C-R30,3,CHI:        robins.,F,
12C-R31,4,CHI:        and numbers.,F,
12C-R39,7,CHI:        I don't know about that [?].,I,
12C-R76,Baby,,,
12C-R78,1,CHI:        a baby.,L,
12C-R80,2,CHI:        she plays.,F,
12C-R81,3,CHI:        and make bubbles.,F,
12C-R83,4,"CHI:        and, wait I can make bubbles.",I+F,
12C-R85,5,CHI:        I know &=laughs.,I,
12C-R93,8,"CHI:        uh, she drinks bottles of milk.",F,
12C-R95,9,CHI:        I love milk &=makes:slurping_noises.,I+F,
12C-R219,Doctor,,,
12C-R222,1,CHI:        &=shrugs  I don't know.,I,
12C-R224,2,CHI:        &=shrugs I can't think what it is.,I,
12C-R227,4,CHI:        no I don't know.,I,
12C-R234,7,CHI:        &=shrugs I don't know what it's about.,I,
12C-R280,Pirate,,,
16C-R45,King,,,
16C-R47,1,CHI:        a king.,L,
16C-R49,2,CHI:        I don't know about kings.,I+L,
16C-R50,3,CHI:        but they're royal.,P,
16C-R55,4,CHI:        hm well I don't know about kings either.,L+I,
16C-R57,5,CHI:        I don't really [?] know about kings.,L+I,
16C-R58,6,CHI:        queens are royal too.,T+P,
16C-R59,7,CHI:        I don't know any about queens and kings.,I+T+L,
16C-R67,King,,,
16C-R68,1,CHI:        I don't know what to say about the king.,L+I,
16C-R82,Police Officer,,,
16C-R84,1,CHI:        it's a police officer.,L,
16C-R86,2,CHI:                  ⌊police⌋.,L,
16C-R87,3,CHI:        police officers oh sorry.,L,
16C-R88,4,CHI:        police officers are are are very important.,I+L,important
16C-R89,5,CHI:        when you when you when you get lost um just just just ask a a police officer for help.,F+L,
16C-R91,6,CHI:        hm I think that's all about police officers.,I+L,
16C-R115,Weightlifter,,,
16C-R117,1,CHI:        a man.,L,
16C-R118,2,CHI:        naked but his legs are not naked.,P,naked
16C-R119,3,CHI:        looks like he's gonna do some exercisin(g).,I+F,
16C-R121,4,"CHI:        he's exercising and and, I don't know.",F+I,
16C-R125,6,CHI:        I think that's all about the man.,I+L,
16C-R155,Surfer,,,
16C-R167,1,CHI:        I don't know.,I,
16C-R171,3,CHI:        it's a boy sea surfing.,P+L,
16C-R173,4,CHI:        I think that's all about th and I think that's all about the boy.,I+L,
16C-R174,Farmer,,,
27C-R38,Farmer,,,
27C-R40,1,"CHI:        um, a farmer.",L,
27C-R42,2,"CHI:        well, farmers they plant everything except their animals.",F+L,
27C-R44,3,CHI:        they plant did you know sometimes the um if they live in the forest the wolves may the wolves might eat their sheep.,F,
27C-R46,4,CHI:        so someone always have to watch out.,F,
27C-R48,5,CHI:        watch watch the sheep.,F,
27C-R50,6,CHI:        but the dog sometimes watches the sheep.,F,
27C-R51,7,CHI:        because they can do alarms.,F,
27C-R54,8,CHI:        so that's all I know about farmers.,I+L,
27C-R78,Weightlifter,,,
27C-R80,1,CHI:        a weight guy.,L,
27C-R82,2,"CHI:        mm well, they they're really strong.",P,strong
27C-R83,3,CHI:        I mean they're not too strong but when they lift this weight thing they become stronger.,I+F,"strong, stronger"
27C-R90,6,CHI:        that's all I know.,I,
27C-R116,Surfer,,,
27C-R118,1,"CHI:        surfboard, guy.",L,
27C-R120,2,CHI:        I don't know about these.,I,
27C-R143,King,,,
27C-R144,1,CHI:        um that's a king I think.,L+I,
27C-R146,2,CHI:        but they're not alive right?,F,alive
27C-R156,3,CHI:        a king.,,
27C-R158,4,CHI:        I don't think they're alive but knights are.,I+T+F,
27C-R160,5,"CHI:        but, and knights there's a castle, ⌈the knights rule⌉.",T+F,
27C-R166,7,"CHI:        yeah, and if there if kings were alive they would have dark blond skin.",I+P+L+F,"alive, dark blond"
27C-R167,8,CHI:        and they would have a crown like that.,P,
27C-R168,9,CHI:        and they would have a blue cape and but that part would be like it.,P,blue
27C-R169,10,CHI:        and they would have a necklace like that.,P,
27C-R170,11,CHI:        and they would have a green stick like that.,P,green
27C-R171,12,CHI:        and they would have um a suit like that except they wouldn't have that.,P,
27C-R172,13,"CHI:        but, and they would have that stripe but they wouldn't have that button.",P,
27C-R173,14,CHI:        and they would have that belt but they wouldn't have the pants.,P,
27C-R175,15,CHI:        they would have green striped with yellow and black stripes.,P,green yellow black
27C-R177,16,CHI:        of their pants.,P,
27C-R178,17,CHI:        so that's all I know.,I,
27C-R235,Police Officer,,,
27C-R236,1,CHI:        oh this is the police.,L,
27C-R238,2,"CHI:        they have guns but, they only use them for shooting.",P+F,
27C-R240,3,CHI:        um real bad guys.,F,
27C-R242,4,CHI:        and if someone does a bad thing to mother earth they lock him in jail.,F,
27C-R249,7,CHI:        and um they have like these trucks and that's what they have on (th)em.,F,
27C-R250,8,CHI:        except they have one on each side and they're all black.,F+P,black
27C-R252,9,CHI:        except they don't have those on (th)em.,F,
27C-R255,10,CHI:        that's all I know.,I,
31C-R2,Teacher,,,
31C-R4,1,CHI:        teacher.,L,
31C-R6,2,CHI:        she teaches.,P,
31C-R11,4,CHI:        I don't actually know much about it either.,I,
31C-R18,7,CHI:        well I well I'm not gonna see my old teachers until I until the Mini Mash.,I+F+L,
31C-R20,8,"CHI:        I won't see my my um old teachers until the Mini Mash, in the fall.",L,old
31C-R23,9,"CHI:        spring, spring is gonna take a long time before it's done.",F,
31C-R25,10,CHI:        but I'm glad (be)cause I'm I was getting a on my on my last day of school I was getting a little bored of school.,I+F,
31C-R27,11,CHI:        but I am going to a new school.,I+F,
31C-R29,12,CHI:        xxx [= name of school].,I+F,
31C-R31,13,CHI:        uh my sister is always pulling my chair out.,I,
