Participant ID,Referent,Speech,Feature,Adjectives SpaCy,
36C-R1,14,CHI:        and they're pretty and they're green.,I+P,"pretty 
green",
36C-R1,15,CHI:        I like them all.,I,,
37C-R80,16,CHI:        yeah.,NA,,
36C-R1,16,CHI:        so that's what turtles are all about.,L,,
37C-R82,18,CHI:        huh.,NA,,
36C-R1,pig,,,,
36C-R1,1,CHI:        pig.,L,,
37C-R86,21,CHI:        then there will be no +...,NA,,
36C-R1,2,CHI:        pig.,L,,
36C-R1,3,CHI:        he's a cow pig.,T,,
36C-R1,4,CHI:        see the spots?,P,,
36C-R1,5,CHI:        xxx cow pig.,T,,
37C-R94,27,CHI:        you know we had a yucky green day out day and and it was raining.,NA,,
37C-R95,28,CHI:        and hail hail come down <like that> [?].,NA,,
37C-R97,29,CHI:        we're gonna go on a vacation.,NA,,
37C-R98,30,CHI:        like at the beach.,NA,,
37C-R100,31,CHI:        and we go to the store and buy stuff for it.,NA,,
37C-R102,32,CHI:        we have six more days.,NA,,
37C-R104,33,CHI:        what else is about this?,NA,,
36C-R1,6,CHI:        cow pigs do like this &=snorts.,T+P,,
37C-R108,36,CHI:        and get the bad guys and pull it out of the sand and take it to its truck.,F+AE(F),,
37C-R111,38,CHI:        yeah.,NA,,
37C-R112,39,"CHI:        that's, what I know.",NA,,
36C-R1,7,CHI:        they make funny noises.,P+F,,
37C-R183,2,CHI:        he can lift up this.,F+AE(F),,
36C-R1,8,CHI:        you gotta learn to snort like a pig &=snorts.,I+P+L,,
36C-R1,duck,,,,
36C-R1,1,CHI:        that's a duck.,L,,
36C-R1,2,CHI:        I can sound like a duck.,I+L+F,,
36C-R1,3,CHI:        quack quack.,P,,
37C-R199,10,CHI:        yeah.,NA,,
37C-R200,11,CHI:        okay.,NA,,
37C-R201,12,CHI:        why was he in the box?,NA,,
37C-R203,13,CHI:        that's his home?,NA,,
37C-R205,14,CHI:        he lives in a box?,NA,,
37C-R207,15,CHI:        I know a pig that lives in a box.,NA,,
37C-R209,16,CHI:        some pigs do that can talk.,NA,,
37C-R211,17,CHI:        yeah.,NA,,
37C-R212,18,CHI:        I saw one on a on tv at our house.,NA,,
37C-R213,19,CHI:        we live at xxx [= city].,NA,,
37C-R214,20,CHI:        right next to that xxx.,NA,,
37C-R216,21,"CHI:        and we have a next neighbors name is, there's Firstname, Firstname and Firstname.",NA,,
37C-R217,22,CHI:        um but that's all that I know.,NA,,
36C-R1,4,CHI:        well if this duck learns how to quack he can quack like this.,L+F+P,,
36C-R1,5,CHI:        quack Quack.,P,,
36C-R1,6,CHI:        so he's a good duck &=makes:Zorg_quack.,I+L,good,
36C-R1,7,CHI:        you already know how to quack like a duck now quack,I+F+L+P,,
37C-R235,6,"CHI:        yeah, they do.",NA,,
36C-R1,8,CHI:        well if [?] you have to quack like a duck.,I+P+L,,
37C-R251,2,CHI:        that's all that I +...,NA,,
36C-R1,9,CHI:        quack.,P,,
36C-R1,puppy,,,,
37C-R258,4,CHI:        I think they do.,NA,,
36C-R1,2,CHI:        puppy doggie.,L,,
36C-R1,3,CHI:        he looks pretty.,P+I,pretty,
36C-R1,4,CHI:        well the doggie barks &=barks.,L+P,,
37C-R269,10,CHI:        everything.,NA,,
36C-R1,5,CHI:        my doggie doesn't like to be picked up.,I+L,,
37C-R566,2,"CHI:        man riding on, what is this kind of board?",L+P+AE(T),,
37C-R567,3,CHI:        I don't know what kind of board this is.,AE(I)+AE(T),,
36C-R1,6,CHI:        so he's a Cavelier_King_Charles_Spaniel <kind of dog> [?].,T,,
36C-R1,7,CHI:        well you need to bark like a puppy &=barks.,I+P+L,,
36C-R1,ladybug,,,,
36C-R1,1,CHI:        and that's a ladybug.,L,,
37C-R581,9,CHI:        that's all that I know.,NA,,
36C-R1,2,CHI:        that's a ladybug.,NA,,
36C-R1,3,CHI:        well if the ladybug always comes in your house I have a bug catcher um to let him um crawl in.,L+I+F,,
36C-R1,3,CHI:        I got a lot of things on it with it.,I+F,,
36C-R1,4,CHI:        and my teacher gave it to me.,I,,
36C-R1,5,CHI:        firstname got one too.,I,,
36C-R1,6,CHI:        all my friends got it too.,I,,
37C-R607,13,CHI:        that's all that I know.,NA,,
36C-R1,7,CHI:        they loved it.,I,,
36C-R1,8,"CHI:        so this bug is a, red ones are &=makes:noise",T+P,,
44C-R10,3,CHI:        xxx.,NA,,
36C-R1,9,CHI:        does he like to eat bugs?,I+F+T,,
36C-R1,10,CHI:        he got a big nose and he can eat (th)em.,F,big,
36C-R1,11,CHI:        well you know what?,NA,,
44C-R62,2,CHI:        it was <a bat> [?].,AE(L),,
36C-R1,12,CHI:        you need to learn to eat bugs.,I+F+T,,
39C-R1,lion,,,,
39C-R1,1,CHI:        a lion.,L,,
39C-R1,2,CHI:        well you see that.,NA,,
39C-R1,3,CHI:        xxx a boy lion and a girl lion.,T+L,"boy 
girl",
44C-R77,4,CHI:        there are [?] clouds.,AE(L),,
39C-R1,4,CHI:        a boy lion has hair around it.,P+L,,
39C-R1,5,"CHI:        and it's, you can see its ears sticking out of its hair.",P,,
44C-R163,4,CHI:        no.,NA,,
44C-R166,5,CHI:        no.,NA,,
39C-R1,6,CHI:        and they lions kill you to eat you.,F,,
48C-R4,1,CHI:        a racecar.,AE(L),,
48C-R6,2,CHI:        there's people watching the racecar ⌈<go> [?]⌉.,AE(P)+AE(L),,
39C-R1,7,CHI:        and like tigers [?] just kill you to defend their babies.,T+F,,
48C-R11,4,CHI:        it's a racecar.,AE(L),,
39C-R1,8,CHI:        and like raccoons sometimes bite you to to defend their babies.,T+F,,
39C-R1,9,CHI:        and like I had a raccoon in my garage before [?] in our garage before.,T+I,,
39C-R1,10,"CHI:        that's um, it about lions.",L,,
39C-R1,11,"CHI:        well you see, his, sometimes boy lions I think have um uh, have hair on their back of the tail.",I+P+L,boy,
39C-R1,12,CHI:        and some of the girl lions and  I I-let's skip to the next page.,P+L,girl,
48C-R137,2,"CHI:        she, can't walk very good so she gots a pointy stick.",F+AE(P),pointy,
39C-R1,snake,,,,
39C-R1,1,CHI:        it looks like a king cobra.,P,,
39C-R1,2,CHI:        well you see a cobra and a king cobra are the same but sometimes you ca- but you can tell apart sometimes a cobra and a king cobra is different.,T,,
39C-R1,3,"CHI:        well, you see well, big snakes are about a half inch longer than than little snakes.",P+L+T,"big
longer",
39C-R1,5,CHI:        oh oh oh I forgot.,NA,,
39C-R1,6,CHI:        um snakes.,L,,
48C-R158,3,"CHI:        it, gots a hose on top of it.",AE(P),,
39C-R1,7,CHI:        I forgot some things about snakes.,L,,
39C-R1,8,"CHI:        well you see that some snakes need part of their, parts of xxx taken out.",I+P,,
48C-R174,2,CHI:        he gots a desk.,AE(P),,
48C-R177,3,CHI:        he gots a chair.,AE(P),,
48C-R178,4,CHI:        and he gots some books.,AE(P),,
48C-R179,5,CHI:        and he gots a piece of paper.,AE(P),,
39C-R1,9,"CHI:        so like if they have it too long then, then something will happen to them.",I+P,long,
39C-R1,10,"CHI:        like, well big snakes will stay alive but like little snakes like sometimes I think will wow.",P+L+T,big,
59C-R45,3,CHI:        &=whispers:to_Zorg xxx and xxx.,NA,,
59C-R47,5,CHI:        &=whispers:to_Zorg they have parrots.,AE(P),,
59C-R48,6,CHI:        and they have parrots [= as Zorg] .,NA,,
39C-R1,frog,,,,
59C-R50,8,CHI:        and they try to steal treasures.,F+AE(F),,
59C-R53,9,CHI:        uh  &=whispers:to_Zorg they have xxx gun xxx.,AE(P),,
59C-R54,10,CHI:        um they have a parrot and a gun and a swordle [= as Zorg] .,AE(P),,
59C-R55,11,CHI:        &=whispers:to_Zorg treasure.,AE(L),,
59C-R56,12,CHI:        treasure-and treasure [= as Zorg] .,NA,,
39C-R1,1,CHI:        well frogs yeah.,L,,
39C-R1,2,CHI:        see frogs bend their back legs up so when they jump they can jump far away.,L+F+P,,
59C-R71,4,"CHI:        it's a doctor and it help, helps people [= as Zorg].",NA,,
39C-R1,3,CHI:        and um frogs can hop over about half feet.,L+F,,
39C-R1,4,CHI:        a half feet.,NA,,
59C-R78,8,CHI:        they help you and they take care of you [= as Zorg].,NA,,
59C-R92,1,"CHI:        um, &=whispers:to_Zorg Plant.",AE(L),,
59C-R93,2,CHI:        a plant [= as Zorg].,AE(L),,
39C-R1,5,CHI:        a half feet.,NA,,
39C-R1,6,CHI:        my friends were trying get it a frog and we and we didn't but I was trying to get a rock so so we could hop on him and they was trying to get ⌊him⌋.,I+F+L,,
59C-R100,6,CHI:        pictures [= as Zorg].,AE(L),,
39C-R1,7,CHI:        and so they could like share it when xxx when they come over to their house.,I+F,,
39C-R1,owl,,,,
59C-R135,5,CHI:        uh I ⌊mean⌋ &=puts:Zorg_on_hand +...,NA,,
39C-R1,1,CHI:        well an owl.,L,,
39C-R1,2,CHI:        &=whispers  yes an owl.,NA,,
59C-R139,8,CHI:        &=whispers:to_Zorg xxx.,NA,,
39C-R1,,INV:        what is this?,,,
39C-R1,3,CHI:        an owl.,NA,,
59C-R144,11,CHI:        change diapers [= as Zorg].,NA,,
39C-R1,4,CHI:        it uses its claws to hang on to branches so it won't fall.,F+P,,
39C-R1,5,CHI:        like parrots hang on.,T,,
39C-R1,6,CHI:        and birds.,T,,
59C-R203,3,CHI:        &=whispers:to_Zorg xxx.,NA,,
39C-R1,7,CHI:        and hawks.,T,,
59C-R207,5,CHI:        um [= as Zorg].,NA,,
59C-R208,6,CHI:        &=whispers:to_Zorg xxx.,NA,,
39C-R1,8,CHI:        and eagles.,T,,
39C-R1,9,CHI:        and robins.,T,,
39C-R1,10,CHI:        and birds.,T,,
67C-R48,1,CHI:        a hot rod.,AE(L),,
67C-R49,2,CHI:        they drive to car shows.,AE(F),,
67C-R51,3,CHI:        you drive (th)em on the road.,AE(F),,
39C-R1,11,CHI:        and like I've had a parrot on me before but its claws were gentle.,T+I,gentle,
67C-R54,5,CHI:        don't want to tell about that [?].,NA,,
39C-R1,12,CHI:        it was trying to be gentle on me.,I,,
39C-R1,13,CHI:        my neighbors got a picture of the a red parrot on my head.,I+T,,
39C-R1,14,CHI:        and a red parrot on my shoulder.,T+I,red,
39C-R1,15,CHI:        and it was really fun.,I,,
39C-R1,16,CHI:        it was really kooky on.,I,,
39C-R1,17,CHI:        and it felt really funny on my head.,I,,
39C-R1,18,CHI:        and it didn't even hurt my head.,I,,
39C-R1,19,"CHI:        <and but this xxx they're just> [?], parrots just try to be gentle.",I,,
39C-R1,20,CHI:        about birds?,T,,
39C-R1,rabbit,,,,
39C-R1,1,CHI:        a rabbit.,L,,
67C-R173,4,CHI:        I tell you already.,NA,,
07C-R12,1,CHI:        hm &=shrugs.,NA,,
07C-R21,5,CHI:        xxx this &=tries:turn_page.,NA,,
39C-R1,2,CHI:        well rabbits can hop fast.,L+F,fast,
39C-R1,3,CHI:        I've seen a rabbit hop really fast.,I+L+F,,
07C-R60,1,CHI:        oh.,NA,,
07C-R62,2,CHI:        that is a race car.,L(AE),,
07C-R63,3,"CHI:        it's white and and and red, and blue.",P(AE),,
07C-R65,4,"CHI:        it's purple and it's, yellow.",P(AE),,
07C-R69,5,CHI:        this Zorg this is white and blue and purple.,P(AE),,
39C-R1,4,CHI:        I scared it.,I,,
39C-R1,5,CHI:        but I wasn't very close to it.,I,,
39C-R1,6,CHI:        I just scared it.,I,,
39C-R1,7,CHI:        the rabbit must have heared me.,L+I+F,,
39C-R1,8,"CHI:        uh when rabbits um uh, they can hear people.",L+F,,
39C-R1,9,CHI:        I was just trying to pet him.,I+F,,
07C-R155,5,CHI:        so.,NA,,
39C-R1,10,CHI:        and I was just trying to feel his ears.,I+F+P,,
39C-R1,11,CHI:        but I wasn't trying to kill him.,I+F,,
39C-R1,12,CHI:        (be)cause I want to be nice to rabbits.,I+L,nice,
39C-R1,13,CHI:        like zoo people can only catch rabbits.,T+F+L,,
39C-R1,14,CHI:        (be)cause they never give up on catching animals.,F+T,,
39C-R1,15,CHI:        (be)cause they always try their best.,I,,
08C-R77,5,CHI:        and it has a pointy thing on the end.,AE(P),,
08C-R79,6,CHI:        ah &=turns:page.,NA,,
39C-R1,16,"CHI:        I think that I like, and I like and I like snakes the best.",I+T,best,
47C-R1,skunk,,,,
47C-R1,1,CHI:        a skunk.,L,,
47C-R1,2,CHI:        pee-ew.,P,,
08C-R144,3,CHI:        yes.,NA,,
47C-R1,3,CHI:        they stink.,P,stink,
08C-R150,5,CHI:        &=laughs oh.,NA,,
08C-R203,4,CHI:        three one two.,NA,,
08C-R204,5,CHI:        one two and three.,NA,,
08C-R206,6,CHI:        it doesn't go three one two.,NA,,
08C-R207,7,CHI:        &=laughs.,NA,,
47C-R1,4,CHI:        and they spray.,F,,
08C-R214,11,CHI:        very very very light color shirt.,NA,light color,
47C-R1,5,CHI:        if you scare (th)em or something.,F,,
08C-R224,3,CHI:        &=turns:page &=turns:page_back ah.,NA,,
47C-R1,butterfly,,,,
47C-R1,1,"CHI:        I know, hey.",I,,
08C-R232,9,CHI:        and pink right there.,NA,pink,
47C-R1,2,CHI:        I know a lot about bugs.,NA,,
08C-R242,14,CHI:        I'm done.,NA,,
10C-R2,1,CHI:        I know what it is.,NA,,
10C-R5,2,"CHI:        um let's see, okay.",NA,,
10C-R14,6,CHI:        what else?,NA,,
47C-R1,3,CHI:        a butterfly.,L,,
10C-R86,2,CHI:        and let's see.,NA,,
47C-R1,4,CHI:       and it ⌊flies⌋.,P,,
47C-R1,5,"CHI:        and, it lays eggs.",F,,
10C-R96,8,"CHI:        um, let's see.",NA,,
10C-R116,1,CHI:        this +...,NA,,
47C-R1,6,CHI:        no.,NA,,
47C-R1,7,CHI:        okay that's it.,NA,,
10C-R126,6,"CHI:        um, and this looks like that's a baby doll.",AE(P),,
10C-R128,7,CHI:        and then these two are um stuffed ⌊animals⌋.,AE(P),,
10C-R130,8,"CHI:        um, nope.",NA,,
47C-R1,parrot,,,,
10C-R185,6,CHI:        that's ⌊it⌋ &=whispers.,NA,,
10C-R194,4,"CHI:        and, um let's see.",NA,,
10C-R197,7,"CHI:        um, hm, can't think of anything else.",NA,,
24C-R8,3,CHI:        mm-hm [= yes].,NA,,
24C-R11,5,CHI:        xxx help you.,NA,,
47C-R1,2,CHI:        a parrot.,L,,
24C-R67,3,CHI:        a piece of paper.,AE(P),,
47C-R1,3,"CHI:        that's all I can tell you, remember?",I,,
24C-R71,5,CHI:        yep.,NA,,
24C-R115,6,CHI:        yes.,NA,,
24C-R116,7,CHI:        zorg that's a treasure chest and those are pirates.,AE(P)+L,,
24C-R121,3,CHI:        excuse me.,NA,,
47C-R25,4,CHI:        what?,NA,,
47C-R57,4,CHI:        I think that's it.,NA,,
47C-R1,4,CHI:        parrot.,L,,
47C-R155,5,CHI:        that's all I know.,NA,,
47C-R1,5,CHI:        they fly.,F,,
47C-R1,,,,,
47C-R173,3,CHI:        okay I'll tell okay now +...,NA,,
58C-R1,cat,,,,
58C-R1,1,CHI:        a cat.,L,,
47C-R184,6,CHI:        only I know two things about this.,NA,,
47C-R186,7,CHI:        and that +...,NA,,
47C-R188,8,CHI:        I know lots about &=turns:pages +...,NA,,
58C-R1,2,CHI:        um cats have fur.,L+P,,
58C-R1,3,CHI:        and they have <four> [?] legs.,P,,
58C-R1,4,"CHI:        and they have, whiskers.",P,,
47C-R306,2,CHI:        all I can tell you is what he is.,NA,,
58C-R1,5,CHI:        and their whiskers help them with things.,P+F,,
47C-R316,4,CHI:        I can only tell you the things.,NA,,
58C-R1,6,CHI:        and al-and-and some-lo-a lot of cats are different colors.,L+P,,
58C-R1,7,"CHI:        and some people, have cats.",F+L,some,
58C-R49,2,CHI:        racecars go really fast.,AE(P),,
58C-R50,3,CHI:        and they could cause people an accident because they're going so fast.,AE(F),,
58C-R51,4,CHI:        someone could crash maybe.,AE(F),,
58C-R53,5,CHI:        and they go in a speed xxx with lots of people watching.,AE(F)+P,,
58C-R57,6,CHI:        people ride in it and they have to put on special seatbelts and things so they don't fall out and they don't break the car.,AE(F),,
58C-R58,7,CHI:        because the car's really sensitive.,AE(P),,
58C-R59,8,CHI:        because they go so fast on it.,AE(P),,
58C-R61,9,CHI:        and the wheels aren't that strong.,AE(P+I),,
58C-R63,10,CHI:        they're really strong but they can't quite handle other wheels.,AE(P+I+F),,
58C-R1,8,CHI:        and all cats are different and some people have the same kind of cats.,L+P+F,"different
same",
58C-R1,9,CHI:        they have a tail but people don't.,P+T,,
58C-R93,5,CHI:        I don't know.,NA,,
58C-R1,10,CHI:        because tails al +...,P,,
58C-R1,11,CHI:        they have tails because so so so just because.,P,,
58C-R1,dolphin,,,,
58C-R1,1,CHI:        a dolphin.,,,
58C-R1,2,CHI:        dolphins go <in the> [?] water.,L+P,,
58C-R1,3,CHI:        and they live in the ocean.,P,,
58C-R1,4,CHI:        and sharks could eat dolphins.,T+F+L,,
58C-R1,5,CHI:        and dolphins can go up so sharks can't eat them.,L+P+T+F,,
58C-R1,6,CHI:        and when they come back down sharks can eat them.,F+T,,
58C-R1,7,CHI:        so when when they go up sharks can't eat them and so and and [?] they live in the wa and and they jump back into the water.,P+T+F,,
58C-R1,8,"CHI:        they have fins and they, they have fins and they have a tail like any other sea animal.",P+T,sea,
58C-R1,parrot,,,,
58C-R1,1,CHI:        a parrot.,L,,
30C-R46,1,CHI:        I don't know.,NA,,
58C-R1,2,CHI:        parrots have lots of colors on their tails.,L+P,,
58C-R1,3,CHI:        and on the body.,P,,
58C-R1,4,CHI:        they have feathers too.,P,,
30C-R94,1,CHI:        a airplane in the front.,AE(L),,
30C-R96,2,CHI:        just it goes up in the sky.,AE(F+P),,
30C-R98,3,CHI:        it has seats.,AE(P),,
58C-R1,5,CHI:        they they have shar-a little bit of sharp claws.,P,sharp,
30C-R104,5,CHI:        why just fly one people at a time?,AE(P),,
58C-R1,6,"CHI:        and they have a pointy beak like all other birds that so he can eat, his food out of birdfeeders.",P+F,pointy,
58C-R1,butterfly,,,,
58C-R1,1,CHI:        a monarch butterfly.,L,,
30C-R145,5,CHI:        I don't know all of it.,NA,,
58C-R1,2,"CHI:        monarch butterflies, have dots on on the outside of the xxx inside.",L+P,outside,
58C-R1,3,CHI:        um they they turn out to caterpillars first and then come the monarch butterflies.,F+T+L,,
58C-R1,4,"CHI:        and they have, these things just because some so [?] because um they they so they can smell and do things.",P+F,,
58C-R1,5,CHI:        and they drink nectar from [?] different flowers just like bumble bees.,F+T,different,
58C-R1,skunk,,,,
58C-R1,1,CHI:        a skunk.,L,,
58C-R1,2,"CHI:        skunks have special stinkiness coming from bu, um coming from their tail.",L+F+P,special,
63C-R5,2,"CHI:        I don't, hm.",NA,,
58C-R1,3,CHI:        coming from inside under the tail.,F+P,inside,
58C-R1,4,CHI:        and they and they xxx white and black.,P,"white
black",
58C-R1,5,CHI:        and they and they have whiskers and sharp claws.,P,sharp,
63C-R17,7,CHI:        hm mm-mm [= no].,NA,,
58C-R1,6,CHI:        his tail closes up when he's when it when <he's> [?] pushing the ba the bad smell out.,P+F,bad,
58C-R1,7,CHI:        and they have fur.,P,,
24C-R1,puppy,,,,
63C-R103,2,"CHI:        and I have batman shoes and I have, but they don't light up.",NA,,
63C-R104,3,CHI:        and I have some Buzz Lightyear ones.,NA,,
63C-R105,4,CHI:        and they have Buzz Lightyear on them.,NA,,
63C-R106,5,CHI:        and a rocket.,NA,,
63C-R108,6,CHI:        and um those ones light up.,NA,,
24C-R1,1,CHI:        it's much of a puppy.,L,,
24C-R1,2,CHI:        first there's a mama puppy and then she has her babies.,I+L+F,mama,
24C-R1,3,"CHI:        um, Zorg it's a puppy.",L,,
24C-R1,4,CHI:        you pet him.,F,,
63C-R183,3,"CHI:        hm, he always says that.",NA,,
24C-R1,turtle,,,,
63C-R186,5,CHI:        mm-hm [= filler].,NA,,
24C-R1,1,CHI:        a turtle.,L,,
24C-R1,2,CHI:        he's really slow.,P,"really
slow",
63C-R194,4,CHI:        mm-hm [= filler].,NA,,
63C-R197,6,CHI:        mm-hm [= filler].,NA,,
24C-R1,3,CHI:        he has a shell and no animal can eat its shell.,P+T+F,,
24C-R1,ladybug,,,,
63C-R204,10,CHI:        you'll never believe.,NA,,
63C-R206,11,CHI:        see and you're never gonna believe this.,NA,,
24C-R1,1,CHI:        look there's a ladybug right here.,L,,
24C-R1,2,CHI:        a ladybug.,L,,
24C-R1,3,CHI:        it's a bug.,T,,
20C-R119,3,CHI:        mm mm-hm [= yes].,NA,,
24C-R1,4,CHI:        she's red and has black polka dots.,P+I,"black
polka",
20C-R136,1,CHI:        a racecar and a race man.,AE(L)+L,,
24C-R1,6,CHI:        you don't eat bugs.,F+T,,
20C-R143,4,CHI:        yes.,NA,,
24C-R1,duck,,,,
20C-R145,6,"CHI:        and he has, one two three four five six seven eight oh.",AE(P),,
20C-R149,7,CHI:        yes.,NA,,
24C-R1,1,CHI:        a duck.,L,,
24C-R1,2,"CHI:        he swims in water and, that's it.",F+I,,
20C-R191,3,CHI:        no.,NA,,
24C-R1,3,CHI:        he has she has baby ducklings.,F,baby,
20C-R202,4,CHI:        mm mm-hm [= yes].,NA,,
24C-R1,5,CHI:        it's a duck.,L,,
24C-R1,6,CHI:        it's a duck.,L,,
24C-R1,pig,,,,
20C-R217,2,CHI:        no.,NA,,
20C-R219,3,CHI:        no.,NA,,
24C-R1,1,CHI:        a pig.,L,,
24C-R1,2,CHI:        he likes to roll in the mud.,F,,
24C-R1,3,CHI:        and it's pink.,P,pink,
20C-R228,5,CHI:        no.,NA,,
36C-R25,3,CHI:        you know what?,NA,,
24C-R1,6,CHI:        oink oink.,P,,
24C-R1,7,CHI:        piggy.,L,,
36C-R69,1,"CHI:        um, she's sick.",AE(P),,
36C-R71,2,CHI:        and she's at the doctors.,AE(P)+L,,
36C-R74,3,CHI:        well she's at the doctor when she's sick she doesn't feel good.,AE(P+I)+L,,
24C-R1,8,CHI:        it's an animal.,T,,
24C-R1,9,CHI:        you don't eat it.,I+F,,
36C-R84,7,CHI:        well you know what?,NA,,
24C-R1,10,CHI:        he likes to eat hay.,F,,
56C-R1,Snake (A),Speech,Which feature is questioned or emphasized,,
56C-R1,1,CHI:        a snake.,L,,
36C-R146,4,CHI:        well do you know what?,NA,,
56C-R1,2,CHI:        um snakes slither around along the ground.,F+L,,
56C-R1,3,"CHI:        um, um and they're really um, like and they're really like slimy and um very gooey and yucky from the mud.",F+I,"slimy
gooey
yucky",
56C-R1,4,CHI:        and stuff like that.,NA,,
56C-R1,5,CHI:        that's all I know about fro-about um snakes.,I+L,,
56C-R1,Owl,,,,
56C-R1,1,CHI:        an owl.,L,,
36C-R239,3,CHI:        and the end.,NA,,
36C-R242,4,"CHI:        well, you know what?",NA,,
36C-R244,6,CHI:        the end.,NA,,
56C-R1,2,CHI:        I don't want to tell you anything about owls.,I+L,,
39C-R3,1,CHI:                                          ⌈uh⌉.,NA,,
39C-R6,2,CHI:        this?,NA,,
39C-R8,4,CHI:        because I xxx.,NA,,
39C-R11,6,CHI:        well just a little +...,NA,,
39C-R12,7,CHI:	just one thing.,NA,,
56C-R1,3,CHI:        nothing.,NA,,
39C-R15,10,CHI:        and that's it.,NA,,
39C-R19,1,CHI:        oh pumpkins remind me of our garden.,AE(P+I),,
39C-R21,2,CHI:        (be)cause we're growing pumpkins.,AE(I+P),,
39C-R23,3,CHI:        and we're growing carrots.,AE(I+P),,
39C-R24,4,CHI:        and we're growing squash.,AE(I+P),,
39C-R26,5,CHI:        well you see they plant this from seeds and like.,AE(I+F),,
39C-R27,6,"CHI:        I know like, first pick them for us to eat.",AE(I),,
56C-R1,Frog,,,,
56C-R1,1,CHI:        a frog.,L,,
39C-R62,8,"CHI:        and like, um he wasn't, and he is &=turns:page +...",NA,,
56C-R1,2,CHI:        um frogs hop.,F+L,,
56C-R1,3,CHI:        and I can jump like a frog &=hops:like_frog.,I+F+L,,
56C-R1,4,CHI:        and I can say [ribbit]t the same time.,I+P+L,,
39C-R74,15,CHI:        now that's done [= referring to page].,NA,,
56C-R1,6,CHI:        I have um a book where that you open up that it can unclip.,NA,,
56C-R1,7,CHI:        it's a white one like this one.,NA,white,
56C-R1,Lion,,,,
56C-R1,1,CHI:        a lion.,L,,
39C-R195,10,CHI:        well no &=tries:turn_page.,NA,,
39C-R198,11,CHI:        um no more.,NA,,
39C-R200,12,CHI:        really.,NA,,
39C-R202,13,CHI:        no.,NA,,
56C-R1,2,CHI:        it's a lion.,L,,
56C-R1,3,CHI:        it's a lion.,L,,
56C-R1,4,CHI:        um lions roar at the zoo.,F+L,,
39C-R263,8,CHI:        xxx that's it.,NA,,
39C-R267,9,CHI:        no.,NA,,
56C-R1,1,CHI:        a rabbit.,L,,
56C-R1,2,CHI:        and rabbits hop.,F+L,,
56C-R1,3,CHI:        um nothing.,NA,,