Order,ID,Speech,Feature,referent,Adjectives(NLTK predictions_seperated by blank line),Adjectives(Spacy predictions)
18,63,CHI:        it doesn't have milk in it.,F+P,milk,,
18,63,CHI:        or maybe it's just maybe there's too much cereal and it's blocking it.,I+P+L,milk,,
20,3,"CHI:       cereal we eat it but, but cereal, you always have to put it in a bowl.",F+P+L,milk,,
20,3,"CHI:        and, and you don't always have to eat it with milk.",F,milk,,
20,3,CHI:        not always.,NA,milk,,
20,3,"CHI:        and you gotta, and when you eat it with milk eat it with a spoon.",F,milk,,
20,3,CHI:        when it's dry you can do it with your hands or a spoon.,F,milk,,
21,4,CHI:        I think you take water and milk with it on your plate.,F+T,milk,,
24,12,CHI:        she drinks bottles of milk.,F,milk,,
24,12,CHI:        I love milk.,I+F,milk,,
25,16,CHI:        it's milk.,L,milk,,
25,16,CHI:        this milk drink is making me thirsty.,I+T+L,milk,,
26,27,CHI:        milk is a kind of drink.,T+L,milk,,
26,27,CHI:        and everyday I drink it.,I+F,milk,,
26,27,"CHI:        well, if you leave it in the car you're your collar your car will stink right?",F,milk,,
26,27,CHI:        right?,NA,milk,,
26,27,CHI:        milk makes you healthy.,F+L,milk,,
27,31,CHI:        cereal.,L,milk,,
27,31,CHI:        could you put milk in it.,F+T,milk,,
,,,,,,
9,36,CHI:        a cookie.,L,cookie,,
9,36,CHI:        he I eat a cookie and it goes with my teeth.,F+L,cookie,,
9,36,CHI:        I eat it with my teeth.,F,cookie,,
9,36,"CHI:        he ate it all, look.",F,cookie,,
9,36,CHI:        he at it all up.,F,cookie,,
9,36,CHI:        he likes to eat the cookie.,I+F+L,cookie,,
9,36,CHI:        he ate it all up.,F,cookie,,
26,27,CHI:        and these are like cookie dough but they're hard when you bake them.,P+T+F,cookie,,
26,27,CHI:        guess what.,NA,cookie,,
26,27,CHI:        that's crust.,P,cookie,,
26,27,CHI:        but it's like cookie dough except it's not sweet.,P+T+I,cookie,,
,,,,,,
4,22,CHI: bread.,L,bread,,
4,22,CHI: bread you it's chewy.,L+P,bread,,
4,22,CHI: I don't know.,NA,bread,,
4,22,CHI:  this is bread.,L,bread,,
4,22,CHI: cookie.,L,bread,,
4,22,CHI: a cookie goes crunch crunch.,L+P,bread,,
4,22,CHI: it breaks easily.,F,bread,,
5,24,CHI:        bread.,L,bread,,
5,24,CHI:        eat it you can put toast on it.,F+T,bread,,
5,24,CHI:        it's French toast.,T,bread,,
5,24,CHI:        you eat it and you use it for your eggs.,F,bread,,
7,34,CHI: bread.,L,bread,,
7,34,CHI: it's used for eating.,F,bread,,
7,34,CHI: my mom use a lot of like these bread at home.,I+L+F,bread,,
7,34,CHI: kind of I like cheese plain.,I+L,bread,,
7,34,CHI: but some times I eat them with bread.,I+F,bread,,
9,36,CHI:        bread.,L,bread,,
9,36,CHI:        well when you eat bread it tastes good with peanut butter sandwich.,F+L+I,bread,,
9,36,CHI:        that's so good.,I,bread,,
9,36,CHI:        I like that.,I,bread,,
9,36,CHI:        it's so good.,I,bread,,
9,36,CHI:        and I love it.,I,bread,,
18,63,CHI:        and once one time we when I was three and now I'm four.,NA,bread,,
18,63,CHI:        and and for a minute we ate it.,NA,bread,,
18,63,CHI:        and we put some some gumdrops on it to make it taste good.,NA,bread,,
18,63,CHI:        and we also ate the gingerbread.,NA,bread,,
24,12,CHI:        bread.,L,bread,,
24,12,CHI:        to eat.,F,bread,,
24,12,CHI:        bread to eat.,L+F,bread,,
24,12,CHI:        put it in toasters.,F,bread,,
24,12,CHI:        cut it.,F,bread,,
24,12,CHI:        make macaroni and cheese with it.,F+T,bread,,
24,12,CHI:        and make sandwiches.,F+T,bread,,
26,27,CHI:        a bread a bread dough doughnut.,T,bread,,
26,27,CHI:        I mean a bread pretzel.,L,bread,,
26,27,CHI:        well I only know they're shaped like pretzels and and they're breaded.,P+T,bread,,
26,27,CHI:        and they're made out of bread.,F+T,bread,,
26,27,CHI:        and they're this big.,P,bread,,
26,27,CHI:        and that's all I know.,I,bread,,
,,,,,,
10,39,CHI:        a pie.,L,pie,,
10,39,CHI:        well pies have different flavors in them.,L+P,pie,,
10,39,CHI:        like apple pie.,T,pie,,
10,39,CHI:        strawberry pie.,T,pie,,
10,39,CHI:        and like other pies with fruit.,T+L+P,pie,,
11,38,CHI:        apple pie.,L,pie,,
11,38,CHI:        it has apples in it.,P,pie,,
15,61,CHI:        a pie.,L,pie,,
15,61,"CHI:        these are neat pies because they have these, lines across.",I+P+L,pie,,
15,61,CHI:        you eat a pie.,F+L,pie,,
15,61,CHI:        I wonder what kind of pie that is.,T+L,pie,,
15,61,CHI:        me neither.,NA,pie,,
15,61,CHI:        I think I know if that that stuff.,I,pie,,
15,61,CHI:        I wasn't looking for tha +...,NA,pie,,
15,61,CHI:        I think it's a jelly pie.,I+T+L,pie,,
15,61,CHI:        that would taste good.,I,pie,,
15,61,CHI:        you can eat it.,F,pie,,
16,56,CHI:        pie.,L,pie,,
16,56,CHI:        I don't want to tell you any more.,I,pie,,
16,56,CHI:        you eat pie for dessert.,F+L,pie,,
16,56,CHI:        I had chocolate pie today after I had after for dessert after the feast.,I+L,pie,,
21,4,CHI:        a pumpkin pie.,L,pie,,
23,6,CHI: you could then make out a pineapple pie.,F+T+L,pie,,
23,6,CHI: this is a fruit,T,pie,,
23,6,CHI: and maybe you could make pineapple pie.,F+T+L,pie,,
23,6,CHI: pumpkins are like in pumpkin pie.,P+F+L,pie,,
23,6,CHI: had it at my grandma's house my grandma Firstname.,I+F,pie,,
23,6,CHI: I know I liked it.,I,pie,,
23,6,CHI: and it's and its and it's sweet but you could have a pumpkin pie.,P+F+L,pie,,
23,6,CHI: this is a pumpkin.,L,pie,,
23,6,CHI: you can make pumpkin pie out of this.,F+L,pie,,
25,16,CHI:        it's a pie.,L,pie,,
25,16,CHI:        pies are healthy for you and they're really yummy and and I don't know what else.,I+P+L,pie,,
25,16,CHI:        I don't know what else.,NA,pie,,
25,16,CHI:        it's a pie.,L,pie,,
25,16,CHI:        hey it's just a pie.,L,pie,,
26,27,CHI:        a cherry pie.,L,pie,,
26,27,CHI:        they have cherries and and you bake them.,P+F,pie,,
26,27,CHI:        and these are like cookie dough but they're hard when you bake them.,P+T+F,pie,,
26,27,CHI:        guess what.,NA,pie,,
26,27,CHI:        that's crust.,P,pie,,
28,37,CHI:        pie.,L,pie,,
28,37,"CHI:        is this kind of pie, basket?",T+L,pie,,
28,37,CHI:        basket of peanuts?,T+P,pie,,
28,37,CHI:        is it pie?,L,pie,,
28,37,CHI:        I think pie.,L,pie,,
28,37,CHI:        peanuts in a pie.,P+L,pie,,
28,37,CHI:        like a peanut pie.,T+L,pie,,
28,37,CHI:        you know at school we had a pumpkin pie.,I+T+L,pie,,
28,37,CHI:        but it was not in these kind of things.,I+T+P,pie,,
28,37,CHI:        it was on a napkin.,I+F,pie,,
28,37,CHI:        and I really liked it.,I,pie,,
28,37,CHI:        it had whipped cream on it.,I+F+T,pie,,
28,37,CHI:        well I know there is a cherry.,I+T,pie,,
28,37,CHI:        cherry pies.,T+L,pie,,
28,37,CHI:        and there's strawberry pies.,T+L,pie,,
28,37,CHI:        blueberry pies.,T+L,pie,,
28,37,CHI:        and that there is I've think I think there is banana pies.,T+L,pie,,
28,37,CHI:        there banana pies?,L,pie,,
28,37,CHI:        I think there is.,NA,pie,,
28,37,"CHI:        like if, people give monkeys a dessert then he would give a banana one.",F+T,pie,,
28,37,CHI:        banana pie like that.,T+L,pie,,
28,37,CHI:        you just make a pie and put bananas on it.,F+P+L,pie,,
28,37,CHI:        that's how you make a banana.,F+T+L,pie,,
28,37,CHI:        yep.,NA,pie,,
28,37,"CHI:        and, it just, let me think.",I,pie,,
28,37,CHI:        you can eat pies.,F+L,pie,,
28,37,CHI:        you can smell pies.,F+L,pie,,
28,37,CHI:        yep that's all that I know.,I,pie,,
,,,,,,
3,10,CHI:        a banana.,L,banana,,
3,10,"CHI:        they also have you can call it like, a peel.",P,banana,,
3,10,"CHI:        and, if you want, you if you don't want to get your hands dirty.",F,banana,,
3,10,"CHI:        then, you can pull down the peel.",F,banana,,
3,10,CHI:        and then pull down to the rest of the peel.,F+L,banana,,
3,10,"CHI:        or if you want you can just pull the, whole peel off.",F,banana,,
4,22,CHI: it's a banana.,L,banana,,
4,22,CHI: you peel it off of the peel and you eat down down down down till the whole banana is gone.,F+L,banana,,
4,22,CHI: if you want it cut up for your baby you go cut cut cut cut.,F,banana,,
5,24,CHI:        banana.,L,banana,,
5,24,"CHI:        you eat it and, you, hold the peel.",F+P,banana,,
5,24,CHI:        yes.,NA,banana,,
5,24,CHI:        you don't eat the peel.,F+P,banana,,
7,34,CHI: banana.,L,banana,,
7,34,CHI: my my sister actually eats some of the skin.,I+F,banana,,
9,36,CHI:        banana.,L,banana,,
9,36,CHI:        I like to eat bananas.,I+F+L,banana,,
9,36,CHI:        they're good and they're.,I,banana,,
9,36,CHI:        you need to learn to eat a banana.,I+F+L,banana,,
9,36,CHI:        well if you eat a banana you eat good fruit.,F+L+I+T,banana,,
24,12,CHI:         I ate a banana l today but we have bananas in the car.,I+F+L,banana,,
24,12,CHI:        I'm hungry.,I,banana,,
,,,,,,
6,29,CHI: popcorn.,L,popcorn,,
6,29,CHI: last night I watched Nemo but I don't really like to watch Nemo but I just have to.,I,popcorn,,
6,29,CHI: but last time I turned it off because I didn't want my dad putting it on but then and becausemommy's bedroom because I want to watch it.,I,popcorn,,
6,29,CHI: and then last night my friend Firstname becauseher ate popcorn but becausemm.,I+L,popcorn,,
6,29,CHI: then her got like with just one seed in it but I just had like seven.,I+P,popcorn,,
6,29,CHI: and I don't really like that.,I,popcorn,,
6,29,CHI: becauseno.,NA,popcorn,,
6,29,CHI: because I didn't want to.,NA,popcorn,,
6,29,CHI: last night becauseI my dad and mom I mean my daddy and he went with his friend to there to a football and because I didn't go I stayed home with my mom.,I,popcorn,,
17,70,CHI:        this is popcorn.,L,popcorn,,
17,70,CHI:        and this is the popcorn and that's the bowl.,L,popcorn,,
20,3,CHI:        whoa popcorn!,L,popcorn,,
20,3,CHI:        let's see.,NA,popcorn,,
20,3,"CHI:        popcorn it's, do you know why it's called popcorn?",I+L+F,popcorn,,
20,3,CHI:        because because when you put it in the microwave you eat it when it's done.,F,popcorn,,
20,3,CHI:        and it pops.,F,popcorn,,
20,3,CHI:        and then it turns into popcorn.,F+L,popcorn,,
20,3,CHI:        they're seeds that were inside the popcorn that haven't turned into popcorn.,P+F+L,popcorn,,
20,3,CHI:        but you can't eat the seeds.,F,popcorn,,
20,3,CHI:        you cannot eat the seeds.,NA,popcorn,,
20,3,CHI:        okay.,NA,popcorn,,
20,3,"CHI:        becauselet's see becausepopcorn sometimes popcorn your mom when you tell your mom and when you, my dad my mom doesn't know how to make popcorn very well but my dad does.",I+F+L,popcorn,,
20,3,CHI:        and sometimes when I tell him to put butter he always puts butter when I tell him to.,I+F,popcorn,,
20,3,CHI:        cause it taste good with butter.,I+P,popcorn,,
20,3,"CHI:        sometimes I, but sometimes when I tell him he doesn't.",I,popcorn,,
20,3,CHI:        because he because because butter is too sweet for you.,I+P,popcorn,,
20,3,CHI:        because that's all about popcorn I know.,I+L,popcorn,,
21,4,CHI:        that's popcorn.,L,popcorn,,
21,4,CHI:        I think you know about popcorn.,I+L,popcorn,,
21,4,CHI:        well popcorn is what you eat.,F+L,popcorn,,
21,4,CHI:        and sometimes you can have popcorn at my house you know.,F+I+L,popcorn,,
21,4,CHI:        and that's a glass bowl that the popcorn is supposed.,P+L,popcorn,,
,,,,,,
10,39,CHI:        strawberry pie.,T,strawberry,,
11,38,CHI:        strawberry.,L,strawberry,,
11,38,CHI:        I just can't think of more.,I,strawberry,,
11,38,CHI:        sure.,NA,strawberry,,
11,38,CHI:        strawberry.,L,strawberry,,
11,38,CHI:        my sister doesn't like any red things.,I+P,strawberry,,
14,55,CHI:        strawberry.,L,strawberry,,
14,55,CHI:        it it has leafs.,P,strawberry,,
14,55,CHI:        it has a root.,P,strawberry,,
14,55,CHI:        it's red.,P,strawberry,,
14,55,CHI:        it has leafs.,P,strawberry,,
14,55,CHI:        and it grows.,F,strawberry,,
14,55,CHI:        and sometimes it's brown.,F,strawberry,,
14,55,CHI:        gardener.,L,strawberry,,
15,61,"CHI:        I used, I like strawberries but I'm sick of them right now.",I+L,strawberry,,
15,61,"CHI:        watch out for some of these, spines that are black.",P,strawberry,,
15,61,CHI:        because then you can't eat the ones with the black.,F,strawberry,,
15,61,CHI:        they grow on bushes.,F,strawberry,,
15,61,CHI:        I haven't been strawberry picking but I have been blueberry picking.,I+L,strawberry,,
15,61,CHI:        and apple picking with my school once.,NA,strawberry,,
25,16,CHI:        this is a strawberry.,L,strawberry,,
25,16,CHI:        it's sweet and yummy and.,I+P,strawberry,,
25,16,CHI:        the strawberry is yummy and sweet and and and those little dots in the strawberry is seeds.,P+L,strawberry,,
25,16,CHI:        I used to eat them the seeds.,I+F+P,strawberry,,
25,16,CHI:        I eat the seeds you know.,I,strawberry,,
25,16,CHI:        I'm like a little birdie eat the seeds.,I+F+P+T,strawberry,,
25,16,CHI:        yeah I'm kinda like a birdie I eat the seeds.,NA,strawberry,,
26,27,CHI:        that's a strawberry.,L,strawberry,,
26,27,"CHI:        well that, you you, only eat it.",F,strawberry,,
26,27,"CHI:        and you, and it's red.",P,strawberry,,
26,27,CHI:        and it's a type of fruit right?,T,strawberry,,
26,27,CHI:        and it comes from trees right?,F,strawberry,,
26,27,CHI:        actually they plant it right?,F,strawberry,,
26,27,CHI:        I think they plant it on a strawberry tree.,F+L,strawberry,,
26,27,CHI:        but I think farmers plant it in in their in their gardens and then they give it to the farmer's market.,F,strawberry,,
26,27,CHI:        and then they buy it.,F,strawberry,,
26,27,CHI:        and sometimes they even do it at a farm.,F,strawberry,,
28,37,CHI:        a strawberry.,L,strawberry,,
28,37,"CHI:        well I don't know why these have, leafs on them.",I+P,strawberry,,
28,37,CHI:        do you think because I think because it was on a tree.,I+F,strawberry,,
28,37,CHI:        do strawberries grow on trees?,F+L,strawberry,,
28,37,CHI:        or strawberry bushes.,F+L,strawberry,,
28,37,CHI:        bushes have leafs on them?,F+P,strawberry,,
28,37,"CHI:        strawberries, can be on paper.",P+L,strawberry,,
28,37,CHI:        you can make strawberries on paper.,P+L,strawberry,,
28,37,"CHI:        they, can, do, let me think.",I,strawberry,,
28,37,"CHI:        they can, they grow.",F,strawberry,,
28,37,CHI:        I don't know what they grow on.,I+F,strawberry,,
28,37,CHI:        okay what else can it do?,F,strawberry,,
28,37,"CHI:        I think it can do, I think it can, do, something, like, they can go.",F,strawberry,,
28,37,"CHI:        they can, go into water.",F,strawberry,,
28,37,CHI:        and there's strawberry pies.,T+L,strawberry,,
,,,,,,
3,10,CHI:        a chunk of cheese,P+L,cheese,,
3,10,CHI:        mice like it.,F,cheese,,
3,10,CHI:        it's very good food.,I,cheese,,
3,10,CHI:        and any kind of cheese is good food.,T+L+I+F,cheese,,
3,10,CHI:        it is yellow.,P,cheese,,
4,22,CHI: cheese.,L,cheese,,
4,22,CHI: it has spots.,P,cheese,,
4,22,CHI: chedder cheese.,L+T,cheese,,
5,24,CHI:        cheese.,L,cheese,,
5,24,"CHI:        mice eat it, for a treat.",F,cheese,,
5,24,CHI:        yes.,NA,cheese,,
5,24,CHI:        you eat it.,F,cheese,,
7,34,CHI: a cheese.,L,cheese,,
7,34,CHI: kind of I like cheese plain.,I+L,cheese,,
7,34,CHI: but some times I eat them with bread.,I+F,cheese,,
7,34,CHI: they taste really good. ,I,cheese,,
7,34,CHI: sometimes you eat them regular.,F,cheese,,
9,36,CHI:        cheese.,L,cheese,,
9,36,"CHI:        well, cheese is so good.",L+I,cheese,,
9,36,CHI:        I love mouse cheese.,I+T,cheese,,
9,36,CHI:        and it's good.,I,cheese,,
9,36,CHI:        and I like it.,I,cheese,,
9,36,CHI:        well you know what?,NA,cheese,,
9,36,CHI:        you need to learn to eat cheese on your eye.,I+F+L,cheese,,
24,12,CHI:        make macaroni and cheese with it.,F+T,cheese,,
24,12,CHI:        and make sandwiches.,F+T,cheese,,
24,12,CHI:        cheese.,L,cheese,,
24,12,CHI:        mouse eat cheese and make holes.,F+P+L,cheese,,
24,12,CHI:        get groceries from cheese.,F+T+L,cheese,,
24,12,"CHI:        and, you eat cheese.",F+L,cheese,,
24,12,CHI:        birds eat cheese.,F+L,cheese,,
24,12,CHI:        mouse eat cheese.,F+L,cheese,,
30,59,CHI:        cheese that mice like.,F+L,cheese,,
30,59,CHI:        cheese that mice like.,NA,cheese,,
,,,,,,
6,29,CHI: cereal.,L,cereal,,
6,29,"CHI: last night I went to my school and I, Firstname wanted those (ex)cept I had different ones so.",I,cereal,,
6,29,CHI: he wanted look he wanted to have some but instead of having those ones he wanted some the ones my other friend was having.,I,cereal,,
6,29,"CHI: mm, then Firstname like and then I look down and say hey who stealed my cereal xxx.",I+L,cereal,,
6,29,CHI: hey Firstname did you eat my cereal?,I+L+F,cereal,,
6,29,CHI: yes.,NA,cereal,,
6,29,CHI: and he said he ate it.,I+F,cereal,,
6,29,CHI: cereal.,L,cereal,,
6,29,"CHI: last night I went to my school and I, First name wanted those except I had different ones so.",I,cereal,,
6,29,CHI: he wanted look he wanted to have some but instead of having those ones he wanted some the ones my other friend was having.,I,cereal,,
6,29,CHI: I look down and say hey who stealed my cereal.,I+L,cereal,,
6,29,CHI: did you eat my cereal?,I+L+F,cereal,,
6,29,CHI: yes.,NA,cereal,,
6,29,CHI: and he said he ate it.,I+F,cereal,,
8,30,CHI:        cereal.,L,cereal,,
8,30,CHI:        it's Total.,I,cereal,,
8,30,CHI:        my dad eats Total.,I+F,cereal,,
8,30,CHI:        it needs milk.,F,cereal,,
17,70,CHI:        this is cereal.,L,cereal,,
17,70,CHI:        it has almond in it.,P,cereal,,
18,63,CHI:        cereal.,L,cereal,,
18,63,CHI:        it doesn't have milk in it.,F+P,cereal,,
18,63,CHI:        or maybe it's just maybe there's too much cereal and it's blocking it.,I+P+L,cereal,,
18,63,CHI:        it's in a bowl.,P,cereal,,
20,3,"CHI:        cereal we eat it but, but cereal, you always have to put it in a bowl.",F+P+L,cereal,,
20,3,"CHI:        and, and you don't always have to eat it with milk.",F,cereal,,
20,3,"CHI:        and you gotta, and when you eat it with milk eat it with a spoon.",F,cereal,,
20,3,CHI:        when it's dry you can do it with your hands or a spoon.,F,cereal,,
27,31,CHI:        cereal.,L,cereal,,
27,31,CHI:        it is healthy.,I,cereal,,
27,31,CHI:        it is yummy.,I+P,cereal,,
27,31,CHI:        cereal.,L,cereal,,
27,31,CHI:        could you put milk in it.,F+T,cereal,,
27,31,CHI:        and it's yummy.,I+P,cereal,,
,,,,,,
10,39,CHI:        well I know a little bit about corn.,L,corn,,
10,39,"CHI:        well you see these are so, these are so it stays fresh and clean during when.",F,corn,,
10,39,CHI:        during when you pull it off like.,F,corn,,
10,39,CHI:        that's all.,NA,corn,,
10,39,CHI:        well you see these grow inside the corn.,P+L,corn,,
10,39,CHI:        and like they come out the yellow parts.,P,corn,,
11,38,CHI:        corn.,L,corn,,
11,38,CHI:        it looks doesn't look like really corn.,P+L,corn,,
14,55,CHI:        corn.,L,corn,,
14,55,CHI:        it has different colors on the cob part.,P,corn,,
14,55,CHI:        you you eat the color part off.,F,corn,,
14,55,CHI:        and it grows in the field.,F,corn,,
14,55,CHI:        and it's in a farm.,F,corn,,
15,61,CHI:        indian corn is for Indians.,F+L,corn,,
15,61,CHI:        Indian Corn once we were making foods for the birds and,I+L,corn,,
15,61,CHI:        and we had Indian corn and plain corn.,I+L,corn,,
15,61,CHI:        but plain corn was easier because then you could just kinda pull,I+T,corn,,
15,61,"CHI:        and then some, and it if wasn't you could just pick it off with a",I,corn,,
15,61,CHI:        yeah but the Indian corn was the hardest because of these lines.,I+L,corn,,
15,61,CHI:        because they were some getting in the way some.,I,corn,,
15,61,CHI:        and Indian corn is much the same color as our corn but it has,L+T+P,corn,,
15,61,CHI:        look at this one.,NA,corn,,
15,61,CHI:        see it's all different colors?,P,corn,,
15,61,"CHI:        that's pretty neat about, that's what's neat about Indian corn.",I+L,corn,,
15,61,CHI:        and Indian corn is about this long because of these up here.,P+L,corn,,
15,61,CHI:        kind of like this big.,P,corn,,
15,61,"CHI:        and like, I'm trying to think of what else I know.",I,corn,,
15,61,"CHI:        indians corn they do not, Indian corn you can never cut this off the top.",F+L,corn,,
15,61,CHI:        that will kill the Indian corn.,F+L,corn,,
15,61,CHI:        and then it won't taste so well.,I,corn,,
15,61,CHI:        but if you chop down an Indian corn tree it will never grow again.,F+L,corn,,
16,56,CHI:        corn.,L,corn,,
16,56,CHI:        you eat corn on Thanksgiving.,F+L,corn,,
16,56,"CHI:        and corn muffins, that's what we had today at preschool.",I+L+T,corn,,
16,56,"CHI:        no that's all I know, about corn.",I+L,corn,,
25,16,CHI:        I don't know about corn.,I+L,corn,,
25,16,CHI:        corn is very a delicious treat.,I+T+P+L,corn,,
25,16,CHI:        it's yummy and its and and and it it can make you full.,I+P+F,corn,,
25,16,CHI:        I think that's all about corn.,I+L,corn,,
26,27,CHI:        this is corn that Indians use right?,F+L,corn,,
26,27,CHI:        that used to use.,F,corn,,
26,27,"CHI:        but now, they use regular kind of corn.",F+T+L,corn,,
26,27,CHI:        like Ann Arbor corn right?,T+L,corn,,
26,27,"CHI:        and, but they still have those red and black, things.",P+T,corn,,
26,27,CHI:        and they have peel things except they're not real long.,P,corn,,
28,37,"CHI:        you know, they farmers own cornfields.",F+L,corn,,
28,37,CHI:        corn.,L,corn,,
28,37,CHI:        this a corn?,L,corn,,
28,37,CHI:        it looks is it a dead corn?,P+L,corn,,
28,37,CHI:        corn sometimes look like this?,P+L,corn,,
,,,,,,
10,39,CHI:        a pretzel it looks like a shadow.,L+T,pretzel,,
11,38,CHI:        I don't know hardly anything about pretzels.,I+L,pretzel,,
11,38,CHI:        it's twisty.,P,pretzel,,
14,55,CHI:        pretzel.,L,pretzel,,
14,55,CHI:        you you eat it.,F,pretzel,,
14,55,CHI:        and it has sugary stuff in.,P,pretzel,,
14,55,CHI:        and it's colored.,P,pretzel,,
14,55,CHI:        it has holes.,P,pretzel,,
15,61,CHI:        a big pretzel.,P+L,pretzel,,
15,61,CHI:        kind of tied up.,P,pretzel,,
15,61,CHI:        it has these of little points.,P,pretzel,,
15,61,CHI:        and you can eat.,F,pretzel,,
16,56,CHI:        a pretzel.,L,pretzel,,
16,56,CHI:        the only thing I know about pretzels is that you eat them.,F+L,pretzel,,
16,56,"CHI:        no I just, that's the only thing I know about pretzels.",I+L,pretzel,,
25,16,CHI:        a pretzel.,L,pretzel,,
25,16,CHI:        I don't know what what about pretzels.,I+L,pretzel,,
25,16,CHI:        they're good to eat and they're so and they're healthy for you.,F+I+P,pretzel,,
25,16,"CHI:        and, I'm trying my best.",NA,pretzel,,
25,16,CHI:        and and they're also and they also taste good.,I+P,pretzel,,
25,16,CHI:        they taste very crispy.,P,pretzel,,
25,16,CHI:        have you ever had a pretzel ?,F+L,pretzel,,
25,16,CHI:        it's cute.,I,pretzel,,
25,16,CHI:         likes pretzels.,I+L,pretzel,,
25,16,CHI:        it looks good to eat.,I+P+F,pretzel,,
25,16,CHI:        and look at all those sesame seeds.,P,pretzel,,
25,16,CHI:        look at those sesame seeds.,NA,pretzel,,
25,16,CHI:         sesame seeds are are are crispier than ants.,P+T,pretzel,,
25,16,CHI:        you know that don't you?,I,pretzel,,
25,16,CHI:        are ants good?,I+T,pretzel,,
25,16,CHI:        well pretzels are good.,I+L,pretzel,,
25,16,CHI:        likes them my dog.,I,pretzel,,
25,16,CHI:        is a very is a very big dog .,NA,pretzel,,
25,16,CHI:        you could get you could get stepped on.,NA,pretzel,,
25,16,CHI:        it's a big dog you know and you know it.,NA,pretzel,,
25,16,CHI:        I think that's all about pretzels.,I+L,pretzel,,
,,,,,,
6,29,CHI: broccoli.,L,broccoli,,
6,29,CHI: last time I ate broccoli except I didn't really feel good so I just went to bed.,I+L+F,broccoli,,
8,30,CHI:        broccoli.,L,broccoli,,
8,30,CHI:        you eat it.,F,broccoli,,
18,63,CHI:        broccoli.,L,broccoli,,
18,63,CHI:        it's a vegetable.,T,broccoli,,
18,63,CHI:        and it's almost I call it with with when when it's big and it has these little boingies on it I call it a tree.,P+T+I,broccoli,,
18,63,CHI:        you can eat them.,F,broccoli,,
18,63,CHI:        you can eat it.,F,broccoli,,
18,63,CHI:        and even though it it is good for you.,P,broccoli,,
20,3,CHI:        broccoli.,L,broccoli,,
20,3,CHI:        I know about broccoli you eat it but I don't like broccoli.,F+I+L,broccoli,,
20,3,CHI:        broccoli.,L,broccoli,,
20,3,CHI:        you eat it and I don't like broccoli.,F+I+L,broccoli,,
20,3,CHI:        but other people like it.,I,broccoli,,
20,3,CHI:        some people.,NA,broccoli,,
20,3,CHI:        daddy doesn't like broccoli either.,I+L,broccoli,,
20,3,CHI:        but but daddy he's big enough to touch the ceiling.,NA,broccoli,,
20,3,CHI:        really is.,NA,broccoli,,
20,3,"CHI:        but, there's something on the garage and it's a shelf and and it's a shelf.",NA,broccoli,,
20,3,"CHI:        there's lots of shelves all the way up to the ceiling and daddy can reach and you can put things, in top of the shelf and daddy can reach the things that are on top of that shelf.",NA,broccoli,,
20,3,CHI:        and all the way up to the ceiling.,NA,broccoli,,
20,3,CHI:        when I was telling it to you he could hear it.,NA,broccoli,,
20,3,CHI:        that's all I know about broccoli actually.,I+L,broccoli,,
20,3,CHI:        that's all I know about it.,NA,broccoli,,
20,3,CHI:        but dad but dad is but dad actually is all about broccoli.,I+L,broccoli,,
21,4,CHI:        broccoli what you eat on your plate.,F+L,broccoli,,
21,4,CHI:        I think you take water and milk with it on your plate.,F+T,broccoli,,
21,4,CHI:        what if you ate only broccoli for dinner.,I+F+L,broccoli,,
27,31,CHI:        broccoli.,L,broccoli,,
27,31,"CHI:        it's, healthy.",P,broccoli,,
27,31,CHI:        it is yummy.,I+P,broccoli,,
27,31,"CHI:        and I know one more, which I don't remember.",I,broccoli,,
27,31,CHI:        it has Vitamin_C.,P,broccoli,,
27,31,CHI:        my mom oh my mom told me that anything that's green has Vitamin_C in it.,I+P,broccoli,,